algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
0.020166436,20.93103448275862,5915,33,5526,Continuous,0,5526.0,1243,1,5324.0,origA1,5915,120.203369413,CP_CPLEX,120.02,ok,120.223535849,29,1214,5526.0
0.019129505,18.176470588235293,1632,33,4746,Continuous,1,4746.0,635,1,4305.0,origA10,1632,120.096638635,CP_CPLEX,120.02,ok,120.11576814,17,618,4746.0
0.0214972,19.833333333333332,6162,33,3331,Continuous,2,3331.0,1220,1,1694.0,origA11,6162,120.172750225,CP_CPLEX,120.02,ok,120.194247425,30,1190,3331.0
0.01943838,21.714285714285715,6393,33,4247,Continuous,3,4247.0,1244,1,2417.0,origA12,6393,120.168085016,CP_CPLEX,120.0,ok,120.187523396,28,1216,4247.0
0.020126976,19.0,3735,33,5804,Continuous,4,5804.0,975,1,5332.994,origA2,3735,120.159491458,CP_CPLEX,120.02,ok,120.179618434,25,950,5804.0
0.021006251,22.375,2061,33,1329,Continuous,5,1329.0,732,1,1329.0,origA3,2061,0.604102071,CP_CPLEX,0.5,ok,0.625108322,16,716,1329.0
0.017038726,19.214285714285715,1175,33,2706,Continuous,6,2706.0,552,1,2706.0,origA4,1175,0.655277008,CP_CPLEX,0.56,ok,0.672315734,14,538,2706.0
0.018421837,19.25,876,33,2634,Continuous,7,2634.0,474,1,2634.0,origA5,876,0.382930356,CP_CPLEX,0.3,ok,0.401352193,12,462,2634.0
0.019098478,18.625,307,33,2043,Continuous,8,2043.0,306,1,2043.0,origA6,307,0.342148091,CP_CPLEX,0.28,ok,0.36124656899999996,8,298,2043.0
0.019957328,12.625,126,33,1918,Continuous,9,1918.0,210,1,1918.0,origA7,126,0.047993219,CP_CPLEX,0.02,ok,0.067950547,8,202,1918.0
0.02196844,19.214285714285715,4877,33,23143,Continuous,10,23143.0,1104,1,20782.97,origA8,4877,120.169876343,CP_CPLEX,120.02,ok,120.191844783,28,1076,23143.0
0.01995785,20.05,2616,33,6178,Continuous,11,6178.0,822,1,5817.0,origA9,2616,120.139873823,CP_CPLEX,120.02,ok,120.159831673,20,802,6178.0
0.019851522,17.333333333333332,2022,25,969,Continuous,12,969.0,642,1,969.0,origB1,2022,0.141158612,CP_CPLEX,0.03,ok,0.161010134,18,624,969.0
