algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
0.033691988,20.93103448275862,5915,33,11,FiniteSteps123,0,11.0,1243,1,10.0,origA1,5915,120.213583299,CP_CPLEX,120.03,ok,120.24727528700001,29,1214,11.0
0.018940224,18.176470588235293,1632,33,17,FiniteSteps123,1,17.0,635,1,17.0,origA10,1632,0.174653458,CP_CPLEX,0.09,ok,0.19359368200000002,17,618,17.0
0.028223859,19.833333333333332,6162,33,23,FiniteSteps123,2,23.0,1220,1,14.0,origA11,6162,120.171165566,CP_CPLEX,120.0,ok,120.19938942499999,30,1190,23.0
0.021002856,21.714285714285715,6393,33,24,FiniteSteps123,3,24.0,1244,1,14.0,origA12,6393,120.19130491,CP_CPLEX,120.01,ok,120.212307766,28,1216,24.0
0.019605671,19.0,3735,33,25,FiniteSteps123,4,25.0,975,1,25.0,origA2,3735,0.199440935,CP_CPLEX,0.08,ok,0.219046606,25,950,25.0
0.017361382,22.375,2061,33,10,FiniteSteps123,5,10.0,732,1,10.0,origA3,2061,0.171980311,CP_CPLEX,0.06,ok,0.189341693,16,716,10.0
0.020593144,19.214285714285715,1175,33,17,FiniteSteps123,6,17.0,552,1,15.0,origA4,1175,120.095859268,CP_CPLEX,120.02,ok,120.116452412,14,538,17.0
0.017142699,19.25,876,33,15,FiniteSteps123,7,15.0,474,1,14.0,origA5,876,120.083397203,CP_CPLEX,120.0,ok,120.10053990200001,12,462,15.0
0.017543302,18.625,307,33,10,FiniteSteps123,8,10.0,306,1,10.0,origA6,307,0.07564969,CP_CPLEX,0.02,ok,0.093192992,8,298,10.0
0.018769735,12.625,126,33,10,FiniteSteps123,9,10.0,210,1,10.0,origA7,126,0.051763388,CP_CPLEX,0.02,ok,0.070533123,8,202,10.0
0.017366353,19.214285714285715,4877,33,31,FiniteSteps123,10,31.0,1104,1,28.0,origA8,4877,120.176703711,CP_CPLEX,120.03,ok,120.194070064,28,1076,31.0
0.016346755,20.05,2616,33,18,FiniteSteps123,11,18.0,822,1,18.0,origA9,2616,0.133454867,CP_CPLEX,0.03,ok,0.149801622,20,802,18.0
