algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
0.020696375,20.93103448275862,5915,33,34,InfiniteSteps180,0,34.0,1243,1,31.0,origA1,5915,120.205996954,CP_CPLEX,120.02,ok,120.226693329,29,1214,34.0
0.020321476,18.176470588235293,1632,33,33,InfiniteSteps180,1,33.0,635,1,29.0,origA10,1632,120.08624552,CP_CPLEX,120.0,ok,120.10656699600001,17,618,33.0
0.020048762,19.833333333333332,6162,33,25,InfiniteSteps180,2,25.0,1220,1,15.0,origA11,6162,120.196820744,CP_CPLEX,120.02,ok,120.216869506,30,1190,25.0
0.018579537,21.714285714285715,6393,33,29,InfiniteSteps180,3,29.0,1244,1,17.0,origA12,6393,120.191467451,CP_CPLEX,120.02,ok,120.21004698799999,28,1216,29.0
0.020325224,19.0,3735,33,37,InfiniteSteps180,4,37.0,975,1,33.0,origA2,3735,120.154969798,CP_CPLEX,120.02,ok,120.175295022,25,950,37.0
0.018778443,22.375,2061,33,14,InfiniteSteps180,5,14.0,732,1,12.0,origA3,2061,120.131600993,CP_CPLEX,120.0,ok,120.15037943600001,16,716,14.0
0.015386742,19.214285714285715,1175,33,22,InfiniteSteps180,6,22.0,552,1,22.0,origA4,1175,0.586813722,CP_CPLEX,0.5,ok,0.602200464,14,538,22.0
0.019667743,19.25,876,33,19,InfiniteSteps180,7,19.0,474,1,19.0,origA5,876,0.467645369,CP_CPLEX,0.38,ok,0.487313112,12,462,19.0
0.019369707,18.625,307,33,14,InfiniteSteps180,8,14.0,306,1,14.0,origA6,307,0.242886075,CP_CPLEX,0.18,ok,0.262255782,8,298,14.0
0.018214261,12.625,126,33,15,InfiniteSteps180,9,15.0,210,1,15.0,origA7,126,0.056158567,CP_CPLEX,0.02,ok,0.074372828,8,202,15.0
0.0195661,19.214285714285715,4877,33,136,InfiniteSteps180,10,136.0,1104,1,121.0,origA8,4877,120.151262305,CP_CPLEX,120.01,ok,120.17082840500001,28,1076,136.0
0.018450922,20.05,2616,33,40,InfiniteSteps180,11,40.0,822,1,35.0,origA9,2616,120.132692309,CP_CPLEX,120.01,ok,120.151143231,20,802,40.0
0.016186765,17.333333333333332,2022,25,7,InfiniteSteps180,12,7.0,642,1,7.0,origB1,2022,0.123984459,CP_CPLEX,0.04,ok,0.140171224,18,624,7.0
0.01681553,11.375,130,25,34,InfiniteSteps180,13,34.0,190,1,34.0,origB10,130,0.086871332,CP_CPLEX,0.06,ok,0.10368686199999999,8,182,34.0
0.018929389,15.4,3202,25,425,InfiniteSteps180,14,425.0,795,1,415.0,origB11,3202,120.127858274,CP_CPLEX,120.02,ok,120.146787663,25,770,425.0
0.017281759,16.214285714285715,970,25,6,InfiniteSteps180,15,6.0,468,1,6.0,origB12,970,0.102905534,CP_CPLEX,0.02,ok,0.120187293,14,454,6.0
0.020719522,14.8,87,25,5,InfiniteSteps180,16,5.0,153,1,5.0,origB2,87,0.048059952,CP_CPLEX,0.02,ok,0.06877947400000001,5,148,5.0
0.019043839,16.8,136,20,7,InfiniteSteps180,17,7.0,173,1,7.0,origB3,136,0.054156564,CP_CPLEX,0.0,ok,0.073200403,5,168,7.0
0.019064064,15.95,2246,25,301,InfiniteSteps180,18,301.0,658,1,301.0,origB4,2246,0.12304109,CP_CPLEX,0.04,ok,0.142105154,20,638,301.0
0.018011921,17.8,136,25,2,InfiniteSteps180,19,2.0,183,1,2.0,origB5,136,0.054113841,CP_CPLEX,0.02,ok,0.07212576200000001,5,178,2.0
0.018629658,15.2,93,25,2,InfiniteSteps180,20,2.0,157,1,2.0,origB6,93,0.049262302,CP_CPLEX,0.01,ok,0.06789196,5,152,2.0
0.019031385,15.25,2865,25,370,InfiniteSteps180,21,370.0,756,1,365.0,origB7,2865,120.129340372,CP_CPLEX,120.01,ok,120.148371757,24,732,370.0
0.018925012,13.4,72,25,6,InfiniteSteps180,22,6.0,139,1,6.0,origB8,72,0.048979537,CP_CPLEX,0.01,ok,0.067904549,5,134,6.0
0.021656897,13.571428571428571,150,25,35,InfiniteSteps180,23,35.0,197,1,35.0,origB9,150,0.244093084,CP_CPLEX,0.2,ok,0.26574998099999997,7,190,35.0
0.019771947,20.93103448275862,5915,33,81,InfiniteSteps180,24,81.0,1243,1,48.0,addstationA1,5915,120.182787449,CP_CPLEX,120.01,ok,120.202559396,29,1214,81.0
0.019341092,18.176470588235293,1632,33,41,InfiniteSteps180,25,41.0,635,1,35.0,addstationA10,1632,120.110298129,CP_CPLEX,120.0,ok,120.129639221,17,618,41.0
0.019387168,20.482758620689655,6144,33,125,InfiniteSteps180,26,125.0,1217,1,23.0,addstationA11,6144,120.208144369,CP_CPLEX,120.02,ok,120.22753153699999,29,1188,125.0
0.020809605,21.714285714285715,6393,33,139,InfiniteSteps180,27,139.0,1244,1,29.0,addstationA12,6393,120.193313906,CP_CPLEX,120.01,ok,120.214123511,28,1216,139.0
0.020509853,19.0,3735,33,59,InfiniteSteps180,28,59.0,975,1,34.0,addstationA2,3735,120.15804914,CP_CPLEX,120.01,ok,120.178558993,25,950,59.0
0.02009055,22.375,2061,33,26,InfiniteSteps180,29,26.0,732,1,12.0,addstationA3,2061,120.119246939,CP_CPLEX,120.0,ok,120.13933748900001,16,716,26.0
0.019255516,19.214285714285715,1175,33,22,InfiniteSteps180,30,22.0,552,1,18.0,addstationA4,1175,120.103686082,CP_CPLEX,120.02,ok,120.122941598,14,538,22.0
0.020202431,19.25,876,33,23,InfiniteSteps180,31,23.0,474,1,23.0,addstationA5,876,0.813248524,CP_CPLEX,0.75,ok,0.833450955,12,462,23.0
0.017007257,18.625,307,33,15,InfiniteSteps180,32,15.0,306,1,15.0,addstationA6,307,0.075804782,CP_CPLEX,0.02,ok,0.092812039,8,298,15.0
0.019797477,12.625,126,33,16,InfiniteSteps180,33,16.0,210,1,16.0,addstationA7,126,0.276175996,CP_CPLEX,0.22,ok,0.295973473,8,202,16.0
0.023014031,19.88888888888889,4862,33,161,InfiniteSteps180,34,161.0,1101,1,107.0,addstationA8,4862,120.171665309,CP_CPLEX,120.0,ok,120.19467934000001,27,1074,161.0
0.015596812,20.05,2616,33,49,InfiniteSteps180,35,49.0,822,1,33.0,addstationA9,2616,120.150856403,CP_CPLEX,120.02,ok,120.166453215,20,802,49.0
0.020550905,17.333333333333332,2022,25,30,InfiniteSteps180,36,30.0,642,1,13.38885,addstationB1,2022,120.110894435,CP_CPLEX,120.01,ok,120.13144534,18,624,30.0
0.019693248,12.857142857142858,126,25,53,InfiniteSteps180,37,53.0,187,1,53.0,addstationB10,126,0.05891786,CP_CPLEX,0.02,ok,0.078611108,7,180,53.0
0.018774082,15.4,3202,25,415,InfiniteSteps180,38,415.0,795,1,391.4884,addstationB11,3202,120.130397957,CP_CPLEX,120.01,ok,120.14917203899999,25,770,415.0
0.019830725,16.214285714285715,970,25,120,InfiniteSteps180,39,120.0,468,1,97.0,addstationB12,970,120.073747247,CP_CPLEX,120.0,ok,120.093577972,14,454,120.0
0.018367361,14.8,87,25,29,InfiniteSteps180,40,29.0,153,1,29.0,addstationB2,87,0.051180515,CP_CPLEX,0.01,ok,0.06954787600000001,5,148,29.0
0.01887032,16.8,136,20,6,InfiniteSteps180,41,6.0,173,1,6.0,addstationB3,136,0.051097403,CP_CPLEX,0.01,ok,0.069967723,5,168,6.0
0.014813192,15.95,2246,25,355,InfiniteSteps180,42,355.0,658,1,341.5218,addstationB4,2246,120.120009069,CP_CPLEX,120.02,ok,120.13482226100001,20,638,355.0
0.016300388,17.8,136,25,10,InfiniteSteps180,43,10.0,183,1,10.0,addstationB5,136,0.177319203,CP_CPLEX,0.13,ok,0.193619591,5,178,10.0
0.01863616,15.2,93,25,5,InfiniteSteps180,44,5.0,157,1,5.0,addstationB6,93,0.047496484,CP_CPLEX,0.01,ok,0.06613264399999999,5,152,5.0
0.017906386,15.25,2865,25,339,InfiniteSteps180,45,339.0,756,1,317.4941,addstationB7,2865,120.127006766,CP_CPLEX,120.02,ok,120.144913152,24,732,339.0
0.020104318,13.4,72,25,16,InfiniteSteps180,46,16.0,139,1,16.0,addstationB8,72,0.046247886,CP_CPLEX,0.01,ok,0.066352204,5,134,16.0
0.018587946,13.571428571428571,150,25,70,InfiniteSteps180,47,70.0,197,1,70.0,addstationB9,150,0.24574869,CP_CPLEX,0.2,ok,0.264336636,7,190,70.0
0.021373241,20.93103448275862,5915,33,60,InfiniteSteps180,48,60.0,1243,1,47.0,addtrackA1,5915,120.177635736,CP_CPLEX,120.01,ok,120.199008977,29,1214,60.0
0.019005137,18.176470588235293,1632,33,33,InfiniteSteps180,49,33.0,635,1,31.0,addtrackA10,1632,120.089111066,CP_CPLEX,120.0,ok,120.108116203,17,618,33.0
0.018808027,20.482758620689655,6144,33,126,InfiniteSteps180,50,126.0,1217,1,20.0,addtrackA11,6144,120.182150258,CP_CPLEX,120.02,ok,120.200958285,29,1188,126.0
0.017669007,21.714285714285715,6393,33,114,InfiniteSteps180,51,114.0,1244,1,26.0,addtrackA12,6393,120.191777245,CP_CPLEX,120.02,ok,120.20944625199999,28,1216,114.0
0.019340002,19.0,3735,33,48,InfiniteSteps180,52,48.0,975,1,32.0,addtrackA2,3735,120.160835422,CP_CPLEX,120.02,ok,120.18017542400001,25,950,48.0
0.019559134,22.375,2061,33,18,InfiniteSteps180,53,18.0,732,1,11.0,addtrackA3,2061,120.125478851,CP_CPLEX,120.02,ok,120.145037985,16,716,18.0
0.020121237,19.214285714285715,1175,33,18,InfiniteSteps180,54,18.0,552,1,15.0,addtrackA4,1175,120.094825274,CP_CPLEX,120.0,ok,120.114946511,14,538,18.0
0.021382907,19.25,876,33,19,InfiniteSteps180,55,19.0,474,1,16.0,addtrackA5,876,120.092069447,CP_CPLEX,120.02,ok,120.113452354,12,462,19.0
0.02006472,18.625,307,33,11,InfiniteSteps180,56,11.0,306,1,11.0,addtrackA6,307,0.076545072,CP_CPLEX,0.01,ok,0.096609792,8,298,11.0
0.019436523,12.625,126,33,10,InfiniteSteps180,57,10.0,210,1,10.0,addtrackA7,126,0.300008244,CP_CPLEX,0.25,ok,0.31944476699999996,8,202,10.0
0.018843431,19.88888888888889,4862,33,146,InfiniteSteps180,58,146.0,1101,1,104.0,addtrackA8,4862,120.170862918,CP_CPLEX,120.02,ok,120.18970634899999,27,1074,146.0
0.017886041,20.05,2616,33,43,InfiniteSteps180,59,43.0,822,1,32.0,addtrackA9,2616,120.140182838,CP_CPLEX,120.02,ok,120.158068879,20,802,43.0
