algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
0.061546188,20.93103448275862,5915,33,5526,Continuous,0,5525.999999999942,0,1,5526.0,origA1,11830,0.387290877,BigM_CPLEX,0.31,ok,0.448837065,29,1214,5526.0
0.025881622,18.176470588235293,1632,33,4746,Continuous,1,4746.0,0,1,4746.0,origA10,3264,0.096995062,BigM_CPLEX,0.07,ok,0.12287668400000001,17,618,4746.0
0.05850985,19.833333333333332,6162,33,3331,Continuous,2,3330.9999999998736,0,1,3328.145046,origA11,12324,0.819965784,BigM_CPLEX,0.74,ok,0.878475634,30,1190,3331.0
0.062556944,21.714285714285715,6393,33,4247,Continuous,3,4246.999999999884,0,1,4246.4082569,origA12,12786,1.102375778,BigM_CPLEX,1.02,ok,1.164932722,28,1216,4247.0
0.044828992,19.0,3735,33,5804,Continuous,4,5804.0,0,1,5804.0,origA2,7470,0.264837678,BigM_CPLEX,0.21,ok,0.30966667000000003,25,950,5804.0
0.033523665,22.375,2061,33,1329,Continuous,5,1328.9999999997963,0,1,1329.0,origA3,4122,0.133429799,BigM_CPLEX,0.1,ok,0.166953464,16,716,1329.0
0.026783351,19.214285714285715,1175,33,2706,Continuous,6,2705.999999592197,0,1,2705.9999996,origA4,2350,0.069381551,BigM_CPLEX,0.04,ok,0.096164902,14,538,2705.9999996
0.022311409,19.25,876,33,2634,Continuous,7,2634.0,0,1,2634.0,origA5,1752,0.060120741,BigM_CPLEX,0.04,ok,0.08243215,12,462,2634.0
0.022220485,18.625,307,33,2043,Continuous,8,2043.0,0,1,2043.0,origA6,614,0.038259953,BigM_CPLEX,0.02,ok,0.060480438,8,298,2043.0
0.018652902,12.625,126,33,1918,Continuous,9,1917.9999999999768,0,1,1918.0,origA7,252,0.026605123,BigM_CPLEX,0.01,ok,0.045258025,8,202,1918.0
0.053167121,19.214285714285715,4877,33,23143,Continuous,10,23142.999999999985,0,1,23120.0,origA8,9754,1.427005367,BigM_CPLEX,1.36,ok,1.480172488,28,1076,23143.0
0.036015046,20.05,2616,33,6178,Continuous,11,6177.999999999593,0,1,6178.0,origA9,5232,0.179669141,BigM_CPLEX,0.13,ok,0.215684187,20,802,6178.0
0.031625517,17.333333333333332,2022,25,969,Continuous,12,969.0,0,1,969.0,origB1,4044,0.104596829,BigM_CPLEX,0.07,ok,0.136222346,18,624,969.0
0.018600444,11.375,130,25,5747,Continuous,13,5747.0,0,1,5747.0,origB10,260,0.029225854,BigM_CPLEX,0.01,ok,0.047826298,8,182,5747.0
0.039362872,15.4,3202,25,75494,Continuous,14,75493.999999997,0,1,75419.0,origB11,6404,0.348390588,BigM_CPLEX,0.29,ok,0.38775346,25,770,75494.0
0.024226029,16.214285714285715,970,25,918,Continuous,15,918.0,0,1,918.0,origB12,1940,0.055135604,BigM_CPLEX,0.03,ok,0.079361633,14,454,918.0
0.015270855,14.8,87,25,347,Continuous,16,347.0,0,1,347.0,origB2,174,0.024121997,BigM_CPLEX,0.01,ok,0.039392852,5,148,347.0
0.018512417,16.8,136,20,629,Continuous,17,628.999999999991,0,1,629.0,origB3,272,0.026415627,BigM_CPLEX,0.01,ok,0.044928044,5,168,629.0
0.032111946,15.95,2246,25,53607,Continuous,18,53606.999999999935,0,1,53607.0,origB4,4492,0.131463213,BigM_CPLEX,0.09,ok,0.163575159,20,638,53607.0
0.018967794,17.8,136,25,288,Continuous,19,288.0,0,1,288.0,origB5,272,0.026533681,BigM_CPLEX,0.01,ok,0.045501475,5,178,288.0
