algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
0.055999485,20.93103448275862,5915,33,11,FiniteSteps123,0,11.0,0,1,11.0,origA1,11830,0.389732764,BigM_CPLEX,0.33,ok,0.445732249,29,1214,11.0
0.027214066,18.176470588235293,1632,33,17,FiniteSteps123,1,17.0,0,1,17.0,origA10,3264,0.116497907,BigM_CPLEX,0.09,ok,0.143711973,17,618,17.0
0.056304509,19.833333333333332,6162,33,23,FiniteSteps123,2,23.0,0,1,23.0,origA11,12324,0.656225401,BigM_CPLEX,0.57,ok,0.71252991,30,1190,23.0
0.072149973,21.714285714285715,6393,33,24,FiniteSteps123,3,24.0,0,1,24.0,origA12,12786,1.354857448,BigM_CPLEX,1.28,ok,1.4270074209999999,28,1216,24.0
0.04355385,19.0,3735,33,25,FiniteSteps123,4,25.0,0,1,25.0,origA2,7470,0.31301601,BigM_CPLEX,0.25,ok,0.35656986,25,950,25.0
0.034097052,22.375,2061,33,10,FiniteSteps123,5,10.0,0,1,10.0,origA3,4122,0.134322324,BigM_CPLEX,0.1,ok,0.168419376,16,716,10.0
0.026012308,19.214285714285715,1175,33,17,FiniteSteps123,6,17.0,0,1,17.0,origA4,2350,0.074512535,BigM_CPLEX,0.05,ok,0.100524843,14,538,17.0
0.021508746,19.25,876,33,15,FiniteSteps123,7,15.0,0,1,15.0,origA5,1752,0.052456937,BigM_CPLEX,0.03,ok,0.073965683,12,462,15.0
0.019874675,18.625,307,33,10,FiniteSteps123,8,10.0,0,1,10.0,origA6,614,0.041560507,BigM_CPLEX,0.02,ok,0.061435182,8,298,10.0
0.015799926,12.625,126,33,10,FiniteSteps123,9,10.0,0,1,10.0,origA7,252,0.024425427,BigM_CPLEX,0.01,ok,0.040225353,8,202,10.0
0.049423504,19.214285714285715,4877,33,31,FiniteSteps123,10,31.0,0,1,31.0,origA8,9754,0.395285931,BigM_CPLEX,0.33,ok,0.444709435,28,1076,31.0
0.032797137,20.05,2616,33,18,FiniteSteps123,11,18.0,0,1,18.0,origA9,5232,0.116100336,BigM_CPLEX,0.08,ok,0.148897473,20,802,18.0
0.031677521,17.333333333333332,2022,25,4,FiniteSteps123,12,4.0,0,1,4.0,origB1,4044,0.091664827,BigM_CPLEX,0.06,ok,0.123342348,18,624,4.0
