algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
0.074330582,20.93103448275862,5915,33,34,InfiniteSteps180,0,33.99999999999996,0,1,34.0,origA1,11830,0.562687741,BigM_CPLEX,0.5,ok,0.6370183229999999,29,1214,34.0
0.024911344,18.176470588235293,1632,33,33,InfiniteSteps180,1,32.999999999999886,0,1,33.0,origA10,3264,0.130596681,BigM_CPLEX,0.1,ok,0.155508025,17,618,33.0
0.060808095,19.833333333333332,6162,33,25,InfiniteSteps180,2,25.000000000000526,0,1,25.0,origA11,12324,0.810514465,BigM_CPLEX,0.74,ok,0.87132256,30,1190,25.0
0.063415943,21.714285714285715,6393,33,29,InfiniteSteps180,3,28.999999999999957,0,1,29.0,origA12,12786,1.497098018,BigM_CPLEX,1.43,ok,1.560513961,28,1216,29.0
0.04394225,19.0,3735,33,37,InfiniteSteps180,4,36.999999999999915,0,1,37.0,origA2,7470,0.333385051,BigM_CPLEX,0.29,ok,0.377327301,25,950,37.0
0.032259319,22.375,2061,33,14,InfiniteSteps180,5,14.0,0,1,14.0,origA3,4122,0.177011756,BigM_CPLEX,0.15,ok,0.209271075,16,716,14.0
0.026659996,19.214285714285715,1175,33,22,InfiniteSteps180,6,21.999999999999957,0,1,22.0,origA4,2350,0.101102921,BigM_CPLEX,0.07,ok,0.127762917,14,538,22.0
0.020128462,19.25,876,33,19,InfiniteSteps180,7,18.99999999999992,0,1,19.0,origA5,1752,0.067721241,BigM_CPLEX,0.05,ok,0.087849703,12,462,19.0
0.014959789,18.625,307,33,14,InfiniteSteps180,8,13.99999999999996,0,1,14.0,origA6,614,0.034909057,BigM_CPLEX,0.02,ok,0.049868846,8,298,14.0
0.016509799,12.625,126,33,15,InfiniteSteps180,9,14.999999999999918,0,1,15.0,origA7,252,0.028118663,BigM_CPLEX,0.01,ok,0.044628461999999994,8,202,15.0
0.049852465,19.214285714285715,4877,33,136,InfiniteSteps180,10,136.0,0,1,136.0,origA8,9754,1.471212824,BigM_CPLEX,1.41,ok,1.521065289,28,1076,136.0
0.036648899,20.05,2616,33,40,InfiniteSteps180,11,39.99999999999992,0,1,40.0,origA9,5232,0.238116162,BigM_CPLEX,0.2,ok,0.274765061,20,802,40.0
0.034756447,17.333333333333332,2022,25,7,InfiniteSteps180,12,6.999999999999959,0,1,7.0,origB1,4044,0.157254893,BigM_CPLEX,0.12,ok,0.19201134,18,624,7.0
0.013975554,11.375,130,25,34,InfiniteSteps180,13,33.99999999999996,0,1,34.0,origB10,260,0.024755236,BigM_CPLEX,0.01,ok,0.03873079,8,182,34.0
0.037149102,15.4,3202,25,425,InfiniteSteps180,14,425.0,0,1,425.0,origB11,6404,0.544355007,BigM_CPLEX,0.5,ok,0.5815041089999999,25,770,425.0
0.019193157,16.214285714285715,970,25,6,InfiniteSteps180,15,5.999999999999959,0,1,6.0,origB12,1940,0.060518626,BigM_CPLEX,0.04,ok,0.079711783,14,454,6.0
0.016376535,14.8,87,25,5,InfiniteSteps180,16,4.999999999999959,0,1,5.0,origB2,174,0.023772771,BigM_CPLEX,0.01,ok,0.040149306,5,148,5.0
0.018180669,16.8,136,20,7,InfiniteSteps180,17,6.999999999999959,0,1,7.0,origB3,272,0.028002365,BigM_CPLEX,0.01,ok,0.046183034,5,168,7.0
0.026387733,15.95,2246,25,301,InfiniteSteps180,18,301.0,0,1,301.0,origB4,4492,0.156463397,BigM_CPLEX,0.12,ok,0.18285113,20,638,301.0
0.018172676,17.8,136,25,2,InfiniteSteps180,19,2.0,0,1,2.0,origB5,272,0.028154757,BigM_CPLEX,0.01,ok,0.046327433,5,178,2.0
0.01832185,15.2,93,25,2,InfiniteSteps180,20,1.9999999999999596,0,1,2.0,origB6,186,0.026161388,BigM_CPLEX,0.01,ok,0.044483238,5,152,2.0
0.035712715,15.25,2865,25,370,InfiniteSteps180,21,370.0,0,1,370.0,origB7,5730,0.327254128,BigM_CPLEX,0.29,ok,0.362966843,24,732,370.0
0.017124052,13.4,72,25,6,InfiniteSteps180,22,5.999999999999919,0,1,6.0,origB8,144,0.023790435,BigM_CPLEX,0.01,ok,0.040914487,5,134,6.0
0.017235957,13.571428571428571,150,25,35,InfiniteSteps180,23,34.99999999999996,0,1,35.0,origB9,300,0.029896705,BigM_CPLEX,0.01,ok,0.047132662,7,190,35.0
0.056462639,20.93103448275862,5915,33,81,InfiniteSteps180,24,81.0,0,1,81.0,addstationA1,11830,3.29722754,BigM_CPLEX,3.23,ok,3.353690179,29,1214,81.0
0.032563275,18.176470588235293,1632,33,41,InfiniteSteps180,25,41.0,0,1,41.0,addstationA10,3264,0.176748708,BigM_CPLEX,0.15,ok,0.209311983,17,618,41.0
0.054059803,20.482758620689655,6144,33,127,InfiniteSteps180,26,127.0,0,1,88.064860057,addstationA11,12288,120.095877067,BigM_CPLEX,120.01,ok,120.14993687,29,1188,127.0
0.06542693,21.714285714285715,6393,33,140,InfiniteSteps180,27,139.99999999999994,0,1,92.491486695,addstationA12,12786,120.092070053,BigM_CPLEX,120.01,ok,120.157496983,28,1216,139.99999999999994
0.047142625,19.0,3735,33,59,InfiniteSteps180,28,59.0,0,1,59.0,addstationA2,7470,1.154208736,BigM_CPLEX,1.1,ok,1.201351361,25,950,59.0
0.034052264,22.375,2061,33,26,InfiniteSteps180,29,25.999999999999957,0,1,26.0,addstationA3,4122,0.292056547,BigM_CPLEX,0.25,ok,0.326108811,16,716,26.0
0.027094473,19.214285714285715,1175,33,22,InfiniteSteps180,30,21.999999999999957,0,1,22.0,addstationA4,2350,0.108318882,BigM_CPLEX,0.08,ok,0.135413355,14,538,22.0
0.023016403,19.25,876,33,23,InfiniteSteps180,31,22.999999999999957,0,1,23.0,addstationA5,1752,0.08614073,BigM_CPLEX,0.06,ok,0.109157133,12,462,23.0
