added_conflict_pairs,algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iteration,lb,name,refinements,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
10,0.024844085,20.931034088134766,5915,33,5526,Continuous,0,5,5526,origA1,4,10,59.596238,BigMLazy,0.022718435,ok,0.047561685,29,1214,5526
16,0.013758582000000002,19.0,3735,33,5804,Continuous,1,4,5804,origA2,3,16,58.898981000000006,BigMLazy,0.011735875,ok,0.025493867,25,950,5804
9,0.010121224000000002,22.375,2061,33,1329,Continuous,2,4,1329,origA3,3,9,17.204237,BigMLazy,0.00697271,ok,0.01709319,16,716,1329
6,0.004865023,19.214284896850586,1175,33,2706,Continuous,3,2,2706,origA4,1,6,12.620258,BigMLazy,0.002536181,ok,0.007400568,14,538,2706
5,0.006612150999999999,19.25,876,33,2634,Continuous,4,2,2634,origA5,1,5,11.350387,BigMLazy,0.004555585,ok,0.011166031,12,462,2634
5,0.004823649,18.625,307,33,2043,Continuous,5,3,2043,origA6,2,5,14.208525,BigMLazy,0.005050178,ok,0.009872992,8,298,2043
5,0.0022852230000000003,12.625,126,33,1918,Continuous,6,2,1918,origA7,1,5,4.654995,BigMLazy,0.002230739,ok,0.004515292,8,202,1918
59,0.022213399999999994,19.214284896850586,4877,33,23143,Continuous,7,8,23143,origA8,7,59,403.678027,BigMLazy,0.38121849,ok,0.40343072,28,1076,23143
18,0.01246212,20.049999237060547,2616,33,6178,Continuous,8,5,6178,origA9,4,18,33.480748999999996,BigMLazy,0.014309584,ok,0.026770766,20,802,6178
17,0.008133930000000001,18.176469802856445,1632,33,4746,Continuous,9,5,4746,origA10,4,17,19.897387,BigMLazy,0.011570424,ok,0.019703545,17,618,4746
34,0.02100423,19.83333396911621,6162,33,3331,Continuous,10,5,3331,origA11,4,34,67.775872,BigMLazy,0.040015705,ok,0.061019477,30,1190,3331
37,0.024331570999999996,21.714284896850586,6393,33,4247,Continuous,11,6,4247,origA12,5,37,160.445988,BigMLazy,0.12637104,ok,0.150701659,28,1216,4247
4,0.008814193000000001,17.33333396911621,2022,25,969,Continuous,12,4,969,origB1,3,4,13.849234000000001,BigMLazy,0.00488383,ok,0.013697141,18,624,969
1,0.001806763,14.800000190734863,87,25,347,Continuous,13,2,347,origB2,1,1,3.407009,BigMLazy,0.00145931,ok,0.00326559,5,148,347
4,0.0026663950000000002,16.799999237060547,136,20,629,Continuous,14,3,629,origB3,2,4,5.824066999999999,BigMLazy,0.003028309,ok,0.005693827,5,168,629
10,0.010393376000000001,15.949999809265137,2246,25,53607,Continuous,15,6,53607,origB4,5,10,27.342046,BigMLazy,0.011003073,ok,0.021395547,20,638,53607
3,0.0036623550000000004,17.799999237060547,136,25,288,Continuous,16,4,288,origB5,3,3,6.879647,BigMLazy,0.003094783,ok,0.00675633,5,178,288
1,0.003242817,15.199999809265137,93,25,176,Continuous,17,2,176,origB6,1,1,5.921031999999999,BigMLazy,0.002551428,ok,0.005793507,5,152,176
26,0.014075737000000005,15.25,2865,25,65828,Continuous,18,7,65828,origB7,6,26,46.5345,BigMLazy,0.032242611,ok,0.04631684,24,732,65828
1,0.001974585,13.399999618530273,72,25,676,Continuous,19,2,676,origB8,1,1,3.598306,BigMLazy,0.001491187,ok,0.003465018,5,134,676
9,0.005125563,13.571428298950195,150,25,5967,Continuous,20,5,5967,origB9,4,9,13.695696,BigMLazy,0.008417536,ok,0.013542406,7,190,5967
8,0.0029470269999999996,11.375,130,25,5747,Continuous,21,3,5747,origB10,2,8,8.090137,BigMLazy,0.004861469,ok,0.007806846,8,182,5747
61,0.035187405000000005,15.399999618530273,3202,25,75494,Continuous,22,23,75494,origB11,22,61,255.07768800000002,BigMLazy,0.219568967,ok,0.254755218,25,770,75494
3,0.003864495,16.214284896850586,970,25,918,Continuous,23,2,918,origB12,1,3,9.931472,BigMLazy,0.001728467,ok,0.005592381,14,454,918
63,0.023672214999999996,20.931034088134766,5915,33,9621,Continuous,24,5,9621,trackA1,4,63,113.79661100000001,BigMLazy,0.081633421,ok,0.105304517,29,1214,9621
52,0.014018691,19.0,3735,33,6859,Continuous,25,4,6859,trackA2,3,52,68.164483,BigMLazy,0.046695633,ok,0.060713641,25,950,6859
32,0.012437472999999998,22.375,2061,33,2077,Continuous,26,5,2077,trackA3,4,32,46.926949,BigMLazy,0.028756493,ok,0.041193202,16,716,2077
16,0.006383923999999999,19.214284896850586,1175,33,2069,Continuous,27,3,2069,trackA4,2,16,18.293897,BigMLazy,0.007037161,ok,0.013420199,14,538,2069
15,0.005064197,19.25,876,33,2773,Continuous,28,3,2773,trackA5,2,15,12.187515,BigMLazy,0.006972725,ok,0.01203617,12,462,2773
6,0.003674758,18.625,307,33,1679,Continuous,29,3,1679,trackA6,2,6,7.627905,BigMLazy,0.003820769,ok,0.007494802,8,298,1679
6,0.0022946039999999996,12.625,126,33,1393,Continuous,30,2,1393,trackA7,1,6,4.24361,BigMLazy,0.001821431,ok,0.004115413,8,202,1393
158,0.027741497999997478,19.88888931274414,4862,33,24441,Continuous,31,10,24441,trackA8,9,158,44110.530987,BigMLazy,44.082385265,ok,44.110126294,27,1074,24441
39,0.012900080000000001,20.049999237060547,2616,33,6305,Continuous,32,4,6305,trackA9,3,39,52.394938,BigMLazy,0.029467043,ok,0.042366267,20,802,6305
17,0.0071925420000000006,18.176469802856445,1632,33,4812,Continuous,33,3,4812,trackA10,2,17,14.78721,BigMLazy,0.007436921,ok,0.014628456,17,618,4812
244,0.031584865999988665,20.482759475708008,6144,33,,Continuous,34,10,15680,trackA11,9,244,120045.88904499999,BigMLazy,119.970796598,timeout,120.00238003,29,1188,21976
226,0.029048725999999192,21.714284896850586,6393,33,,Continuous,35,8,17017,trackA12,7,226,120129.475498,BigMLazy,119.974549909,timeout,120.003596458,28,1216,26121
21,0.007805559999999998,17.33333396911621,2022,25,1507,Continuous,36,3,1507,trackB1,2,21,18.460496,BigMLazy,0.010501074,ok,0.018305891,18,624,1507
5,0.002056138,14.800000190734863,87,25,4404,Continuous,37,2,4404,trackB2,1,5,4.0133790000000005,BigMLazy,0.001781387,ok,0.003836765,5,148,4404
7,0.002151885,16.799999237060547,136,20,596,Continuous,38,3,596,trackB3,2,7,6.6153189999999995,BigMLazy,0.004282284,ok,0.006433335,5,168,596
36,0.010777260000000004,15.949999809265137,2246,25,60558,Continuous,39,6,60558,trackB4,5,36,45.767188,BigMLazy,0.032982199,ok,0.043758398,20,638,60558
10,0.0034671649999999995,17.799999237060547,136,25,1662,Continuous,40,4,1662,trackB5,3,10,13.727155,BigMLazy,0.00657486,ok,0.010041166,5,178,1662
3,0.0017870679999999997,15.199999809265137,93,25,209,Continuous,41,2,209,trackB6,1,3,3.4997190000000002,BigMLazy,0.001589735,ok,0.003376005,5,152,209
39,0.01938967300000001,15.25,2865,25,56119,Continuous,42,7,56119,trackB7,6,39,83.080699,BigMLazy,0.063441931,ok,0.082830111,24,732,56119
6,0.0029146530000000006,13.399999618530273,72,25,1906,Continuous,43,4,1906,trackB8,3,6,9.092329,BigMLazy,0.006011511,ok,0.008925181,5,134,1906
9,0.003081821,13.571428298950195,150,25,8593,Continuous,44,4,8593,trackB9,3,9,9.756131,BigMLazy,0.006501676,ok,0.009582639,7,190,8593
3,0.0022916569999999995,12.857142448425293,126,25,6912,Continuous,45,2,6912,trackB10,1,3,4.529015,BigMLazy,0.002106777,ok,0.004397785,7,180,6912
42,0.011775642999999999,15.399999618530273,3202,25,68844,Continuous,46,4,68844,trackB11,3,42,39.057029,BigMLazy,0.02710242,ok,0.03887763,25,770,68844
35,0.008991828,16.214284896850586,970,25,15182,Continuous,47,7,15182,trackB12,6,35,49.141194999999996,BigMLazy,0.035213628,ok,0.044204828,14,454,15182
68,0.02397345700000031,20.931034088134766,5915,33,12884,Continuous,48,6,12884,stationA1,5,68,2654.4553410000003,BigMLazy,2.622134762,ok,2.646106804,29,1214,12884
64,0.019228586000000103,19.0,3735,33,9193,Continuous,49,7,9193,stationA2,6,64,1447.7735659999998,BigMLazy,1.41291412,ok,1.432141768,25,950,9193
31,0.012398044,22.375,2061,33,3681,Continuous,50,4,3681,stationA3,3,31,50.277532,BigMLazy,0.031056782,ok,0.043453888,16,716,3681
20,0.0071482460000000005,19.214284896850586,1175,33,3122,Continuous,51,4,3122,stationA4,3,20,21.576687,BigMLazy,0.014277411,ok,0.021424811,14,538,3122
19,0.005429035999999998,19.25,876,33,3306,Continuous,52,4,3306,stationA5,3,19,16.326197,BigMLazy,0.010717179,ok,0.016145318,12,462,3306
4,0.0025651199999999997,18.625,307,33,2149,Continuous,53,2,2149,stationA6,1,4,7.438814,BigMLazy,0.001630546,ok,0.004194764,8,298,2149
8,0.002125458,12.625,126,33,1762,Continuous,54,3,1762,stationA7,2,8,6.426119,BigMLazy,0.004169849,ok,0.006294331,8,202,1762
172,0.029907741000002375,19.88888931274414,4862,33,,Continuous,55,12,26683,stationA8,11,172,120061.357856,BigMLazy,119.971553374,timeout,120.001459057,27,1074,28164
40,0.011580871999999999,20.049999237060547,2616,33,7655,Continuous,56,4,7655,stationA9,3,40,63.433544,BigMLazy,0.045082939,ok,0.056663153,20,802,7655
30,0.009914338999999998,18.176469802856445,1632,33,6565,Continuous,57,5,6565,stationA10,4,30,59.799172,BigMLazy,0.027189912,ok,0.037103622,17,618,6565
195,0.024660127000004195,20.482759475708008,6144,33,,Continuous,58,7,16441,stationA11,6,195,120331.33382500001,BigMLazy,119.978016445,timeout,120.002675566,29,1188,23468
223,0.03433878199999185,21.714284896850586,6393,33,,Continuous,59,8,17949,stationA12,7,223,120473.325289,BigMLazy,119.967682108,timeout,120.002018038,28,1216,24974
27,0.008464636000000005,17.33333396911621,2022,25,4246,Continuous,60,3,4246,stationB1,2,27,39.338356,BigMLazy,0.024137396,ok,0.032600847,18,624,4246
5,0.002095132,14.800000190734863,87,25,4798,Continuous,61,2,4798,stationB2,1,5,3.9679729999999998,BigMLazy,0.001712879,ok,0.003807312,5,148,4798
5,0.0023840699999999994,16.799999237060547,136,20,674,Continuous,62,2,674,stationB3,1,5,6.581288,BigMLazy,0.004021463,ok,0.006404545,5,168,674
43,0.011252421999999998,15.949999809265137,2246,25,62616,Continuous,63,6,62616,stationB4,5,43,80.002808,BigMLazy,0.068577978,ok,0.079829916,20,638,62616
10,0.004505863000000001,17.799999237060547,136,25,1485,Continuous,64,6,1485,stationB5,5,10,13.563532,BigMLazy,0.008830674,ok,0.013335732,5,178,1485
