added_conflict_pairs,algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iteration,lb,name,refinements,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
7,0.019827851,20.931034088134766,5915,33,11,FiniteSteps123,0,3,11,origA1,2,7,40.02111,BigMLazy,0.008245491,ok,0.02807246,29,1214,11
19,0.017761042999999997,19.0,3735,33,25,FiniteSteps123,1,5,25,origA2,4,19,32.733592,BigMLazy,0.014816692,ok,0.032575644,25,950,25
9,0.009262056999999997,22.375,2061,33,10,FiniteSteps123,2,4,10,origA3,3,9,22.032624000000002,BigMLazy,0.006753542,ok,0.016014662,16,716,10
10,0.0061589,19.214284896850586,1175,33,17,FiniteSteps123,3,4,17,origA4,3,10,15.670412000000002,BigMLazy,0.009359292,ok,0.015517204,14,538,17
7,0.004953885000000001,19.25,876,33,15,FiniteSteps123,4,3,15,origA5,2,7,10.026845,BigMLazy,0.004912173,ok,0.009864996,12,462,15
3,0.002738992,18.625,307,33,10,FiniteSteps123,5,2,10,origA6,1,3,5.383277,BigMLazy,0.002498885,ok,0.005236794,8,298,10
6,0.0030494660000000002,12.625,126,33,10,FiniteSteps123,6,3,10,origA7,2,6,5.047322,BigMLazy,0.001882322,ok,0.004931146,8,202,10
45,0.019587194000000002,19.214284896850586,4877,33,31,FiniteSteps123,7,5,31,origA8,4,45,51.82888,BigMLazy,0.02382699,ok,0.043413632,28,1076,31
20,0.012269108,20.049999237060547,2616,33,18,FiniteSteps123,8,5,18,origA9,4,20,25.469881,BigMLazy,0.006524169,ok,0.018792596,20,802,18
19,0.010100254999999999,18.176469802856445,1632,33,17,FiniteSteps123,9,5,17,origA10,4,19,20.185113,BigMLazy,0.009904533,ok,0.020004121,17,618,17
31,0.022140317,19.83333396911621,6162,33,23,FiniteSteps123,10,6,23,origA11,5,31,71.019885,BigMLazy,0.039804326,ok,0.061944021,30,1190,23
32,0.022909694999999994,21.714284896850586,6393,33,24,FiniteSteps123,11,6,24,origA12,5,32,95.021335,BigMLazy,0.071943346,ok,0.094852068,28,1216,24
2,0.007063887,17.33333396911621,2022,25,4,FiniteSteps123,12,2,4,origB1,1,2,15.492225,BigMLazy,0.001591637,ok,0.008654187,18,624,4
1,0.00209354,14.800000190734863,87,25,5,FiniteSteps123,13,2,5,origB2,1,1,3.878683,BigMLazy,0.001645675,ok,0.003738362,5,148,5
4,0.0026499009999999996,16.799999237060547,136,20,5,FiniteSteps123,14,3,5,origB3,2,4,5.2864,BigMLazy,0.002506691,ok,0.005155712,5,168,5
6,0.0073399139999999995,15.949999809265137,2246,25,16,FiniteSteps123,15,3,16,origB4,2,6,11.895723,BigMLazy,0.004432722,ok,0.011772153,20,638,16
2,0.0026570300000000003,17.799999237060547,136,25,2,FiniteSteps123,16,3,2,origB5,2,2,8.754718,BigMLazy,0.002973298,ok,0.00562974,5,178,2
1,0.002309258,15.199999809265137,93,25,2,FiniteSteps123,17,2,2,origB6,1,1,3.285652,BigMLazy,0.000841628,ok,0.00315006,5,152,2
14,0.008940173,15.25,2865,25,25,FiniteSteps123,18,3,25,origB7,2,14,15.399872,BigMLazy,0.006333367,ok,0.015273138,24,732,25
1,0.0031330869999999997,13.399999618530273,72,25,6,FiniteSteps123,19,2,6,origB8,1,1,6.708513999999999,BigMLazy,0.000755831,ok,0.003888348,5,134,6
5,0.0021036550000000003,13.571428298950195,150,25,7,FiniteSteps123,20,2,7,origB9,1,5,4.545632,BigMLazy,0.002324731,ok,0.00442768,7,190,7
6,0.0018532639999999999,11.375,130,25,10,FiniteSteps123,21,2,10,origB10,1,6,3.9669299999999996,BigMLazy,0.001997792,ok,0.003850639,8,182,10
15,0.009508471000000001,15.399999618530273,3202,25,23,FiniteSteps123,22,3,23,origB11,2,15,15.260208,BigMLazy,0.005631066,ok,0.015138957,25,770,23
3,0.004180454,16.214284896850586,970,25,6,FiniteSteps123,23,2,6,origB12,1,3,6.584022,BigMLazy,0.002281422,ok,0.006461189,14,454,6
83,0.04074240200000001,20.931034088134766,5915,33,23,FiniteSteps123,24,6,23,trackA1,5,83,341.42221099999995,BigMLazy,0.30048484,ok,0.341226073,29,1214,23
64,0.017318764999999986,19.0,3735,33,33,FiniteSteps123,25,6,33,trackA2,5,64,147.688436,BigMLazy,0.1302027,ok,0.147520445,25,950,33
41,0.013100537000000002,22.375,2061,33,15,FiniteSteps123,26,7,15,trackA3,6,41,79.661915,BigMLazy,0.060541847,ok,0.073641601,16,716,15
18,0.006973455999999999,19.214284896850586,1175,33,15,FiniteSteps123,27,4,15,trackA4,3,18,21.507801,BigMLazy,0.014401138,ok,0.021373707,14,538,15
13,0.004961965,19.25,876,33,12,FiniteSteps123,28,3,12,trackA5,2,13,11.848802000000001,BigMLazy,0.006757306,ok,0.011718482,12,462,12
5,0.002991269,18.625,307,33,8,FiniteSteps123,29,2,8,trackA6,1,5,5.501055,BigMLazy,0.002353698,ok,0.005343514,8,298,8
6,0.0023837140000000003,12.625,126,33,8,FiniteSteps123,30,2,8,trackA7,1,6,5.017893,BigMLazy,0.002443921,ok,0.004826195,8,202,8
144,0.022647722999999953,19.88888931274414,4862,33,34,FiniteSteps123,31,7,34,trackA8,6,144,1809.89209,BigMLazy,1.787050491,ok,1.80969756,27,1074,34
44,0.015119910999999996,20.049999237060547,2616,33,25,FiniteSteps123,32,4,25,trackA9,3,44,43.661008,BigMLazy,0.028345352,ok,0.043464125,20,802,25
20,0.007722496999999999,18.176469802856445,1632,33,17,FiniteSteps123,33,3,17,trackA10,2,20,15.538563,BigMLazy,0.007648546,ok,0.01537005,17,618,17
146,0.024775551000001172,20.482759475708008,6144,33,33,FiniteSteps123,34,6,33,trackA11,5,146,13540.161155,BigMLazy,13.515016432,ok,13.539791177,29,1188,33
156,0.023432824000000352,21.714284896850586,6393,33,36,FiniteSteps123,35,5,36,trackA12,4,156,4747.029719,BigMLazy,4.72330546,ok,4.746737231,28,1216,36
19,0.007023311000000001,17.33333396911621,2022,25,13,FiniteSteps123,36,3,13,trackB1,2,19,20.927707,BigMLazy,0.013723466,ok,0.020745871,18,624,13
5,0.002002544,14.800000190734863,87,25,5,FiniteSteps123,37,2,5,trackB2,1,5,4.807952,BigMLazy,0.002641206,ok,0.004642978,5,148,5
5,0.0017987340000000002,16.799999237060547,136,20,4,FiniteSteps123,38,2,4,trackB3,1,5,3.9656450000000003,BigMLazy,0.002069291,ok,0.00386714,5,168,4
26,0.007430268,15.949999809265137,2246,25,19,FiniteSteps123,39,3,19,trackB4,2,26,19.439357,BigMLazy,0.011900008,ok,0.019329576,20,638,19
10,0.007845447,17.799999237060547,136,25,7,FiniteSteps123,40,4,7,trackB5,3,10,16.603705,BigMLazy,0.00851591,ok,0.016360304,5,178,7
3,0.0016615319999999999,15.199999809265137,93,25,2,FiniteSteps123,41,2,2,trackB6,1,3,3.96876,BigMLazy,0.002201867,ok,0.00386249,5,152,2
32,0.010174773999999998,15.25,2865,25,27,FiniteSteps123,42,4,27,trackB7,3,32,28.86131,BigMLazy,0.01856854,ok,0.028742829,24,732,27
5,0.0021420529999999997,13.399999618530273,72,25,8,FiniteSteps123,43,3,8,trackB8,2,5,7.466139999999999,BigMLazy,0.003040351,ok,0.005181723,5,134,8
7,0.002967176,13.571428298950195,150,25,9,FiniteSteps123,44,3,9,trackB9,2,7,8.190342,BigMLazy,0.005108035,ok,0.008074188,7,190,9
3,0.0020296240000000003,12.857142448425293,126,25,8,FiniteSteps123,45,2,8,trackB10,1,3,4.369845,BigMLazy,0.002232743,ok,0.004261688,7,180,8
38,0.011411151000000005,15.399999618530273,3202,25,31,FiniteSteps123,46,4,31,trackB11,3,38,41.379391,BigMLazy,0.024044318,ok,0.035454477,25,770,31
26,0.006245381000000001,16.214284896850586,970,25,16,FiniteSteps123,47,4,16,trackB12,3,26,24.942743,BigMLazy,0.018565379,ok,0.024809778,14,454,16
96,0.021591844000000027,20.931034088134766,5915,33,37,FiniteSteps123,48,4,37,stationA1,3,96,1559.335145,BigMLazy,1.537555316,ok,1.559145922,29,1214,37
66,0.013715214000000003,19.0,3735,33,40,FiniteSteps123,49,3,40,stationA2,2,66,157.770677,BigMLazy,0.143777159,ok,0.157491397,25,950,40
38,0.009462589,22.375,2061,33,19,FiniteSteps123,50,4,19,stationA3,3,38,34.795109,BigMLazy,0.025196206,ok,0.034657822,16,716,19
25,0.006395458999999999,19.214284896850586,1175,33,17,FiniteSteps123,51,4,17,stationA4,3,25,20.630025,BigMLazy,0.013970013,ok,0.020364732,14,538,17
16,0.011379186,19.25,876,33,16,FiniteSteps123,52,4,16,stationA5,3,16,22.857585,BigMLazy,0.011355699,ok,0.022734223,12,462,16
4,0.0044168720000000005,18.625,307,33,10,FiniteSteps123,53,2,10,stationA6,1,4,6.748972,BigMLazy,0.002214102,ok,0.006629923,8,298,10
5,0.0019642439999999995,12.625,126,33,12,FiniteSteps123,54,2,12,stationA7,1,5,4.294689,BigMLazy,0.00221674,ok,0.004180324,8,202,12
82,0.018645386999999958,19.88888931274414,4862,33,43,FiniteSteps123,55,3,43,stationA8,2,82,725.071492,BigMLazy,0.706252587,ok,0.72489734,27,1074,43
48,0.011285510999999998,20.049999237060547,2616,33,27,FiniteSteps123,56,4,27,stationA9,3,48,37.900607,BigMLazy,0.026447099,ok,0.037731874,20,802,27
