added_conflict_pairs,algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iteration,lb,name,refinements,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
9,0.021616414,20.931034088134766,5915,33,34,InfiniteSteps180,0,4,34,origA1,3,9,39.494403,BigMLazy,0.008953872,ok,0.030569592,29,1214,34
18,0.015988927,19.0,3735,33,37,InfiniteSteps180,1,5,37,origA2,4,18,42.571626,BigMLazy,0.01440768,ok,0.030394097,25,950,37
11,0.010889067,22.375,2061,33,14,InfiniteSteps180,2,6,14,origA3,5,11,22.84688,BigMLazy,0.011801674,ok,0.022689867,16,716,14
7,0.0058640079999999995,19.214284896850586,1175,33,22,InfiniteSteps180,3,3,22,origA4,2,7,11.593221000000002,BigMLazy,0.005584849,ok,0.011447656,14,538,22
7,0.005564741000000001,19.25,876,33,19,InfiniteSteps180,4,3,19,origA5,2,7,10.037921,BigMLazy,0.004314608,ok,0.009878567,12,462,19
4,0.003778805,18.625,307,33,14,InfiniteSteps180,5,3,14,origA6,2,4,7.602152,BigMLazy,0.00369411,ok,0.007471797,8,298,14
5,0.002510717,12.625,126,33,15,InfiniteSteps180,6,2,15,origA7,1,5,4.629153,BigMLazy,0.001990569,ok,0.004500515,8,202,15
63,0.022841058999999997,19.214284896850586,4877,33,136,InfiniteSteps180,7,8,136,origA8,7,63,289.776392,BigMLazy,0.259302488,ok,0.282142399,28,1076,136
24,0.013299518000000003,20.049999237060547,2616,33,40,InfiniteSteps180,8,6,40,origA9,5,24,37.783165000000004,BigMLazy,0.018326455,ok,0.031625263,20,802,40
18,0.009474624,18.176469802856445,1632,33,33,InfiniteSteps180,9,5,33,origA10,4,18,20.165367,BigMLazy,0.010551486,ok,0.020025251,17,618,33
32,0.021710799,19.83333396911621,6162,33,25,InfiniteSteps180,10,5,25,origA11,4,32,54.137312,BigMLazy,0.023178913,ok,0.044888952,30,1190,25
40,0.02396516699999998,21.714284896850586,6393,33,29,InfiniteSteps180,11,7,29,origA12,6,40,133.143335,BigMLazy,0.108867608,ok,0.132831569,28,1216,29
3,0.007274822,17.33333396911621,2022,25,7,InfiniteSteps180,12,3,7,origB1,2,3,16.344021,BigMLazy,0.003842316,ok,0.011116203,18,624,7
1,0.001945866,14.800000190734863,87,25,5,InfiniteSteps180,13,2,5,origB2,1,1,3.6554309999999997,BigMLazy,0.001575982,ok,0.003521056,5,148,5
4,0.002115201,16.799999237060547,136,20,7,InfiniteSteps180,14,3,7,origB3,2,4,5.311337999999999,BigMLazy,0.003041529,ok,0.005155775,5,168,7
9,0.009176494999999998,15.949999809265137,2246,25,301,InfiniteSteps180,15,5,301,origB4,4,9,17.463782000000002,BigMLazy,0.008151646,ok,0.017327596,20,638,301
2,0.0032634479999999995,17.799999237060547,136,25,2,InfiniteSteps180,16,3,2,origB5,2,2,9.08374,BigMLazy,0.002720974,ok,0.00598361,5,178,2
1,0.001756151,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,origB6,1,1,6.560377,BigMLazy,0.00073216,ok,0.002487726,5,152,2
22,0.013365287,15.25,2865,25,370,InfiniteSteps180,18,5,370,origB7,4,22,30.315121,BigMLazy,0.016764541,ok,0.030129226,24,732,370
1,0.0014849940000000003,13.399999618530273,72,25,6,InfiniteSteps180,19,2,6,origB8,1,1,5.324568,BigMLazy,0.000778704,ok,0.002263148,5,134,6
5,0.00196531,13.571428298950195,150,25,35,InfiniteSteps180,20,2,35,origB9,1,5,3.949447,BigMLazy,0.001857811,ok,0.003822378,7,190,35
6,0.002053016,11.375,130,25,34,InfiniteSteps180,21,2,34,origB10,1,6,3.9795459999999996,BigMLazy,0.001778118,ok,0.003830745,8,182,34
59,0.027478378999999997,15.399999618530273,3202,25,425,InfiniteSteps180,22,18,425,origB11,17,59,178.56375599999998,BigMLazy,0.150895261,ok,0.178372206,25,770,425
3,0.005638909000000001,16.214284896850586,970,25,6,InfiniteSteps180,23,2,6,origB12,1,3,16.112989000000002,BigMLazy,0.002716066,ok,0.008353365,14,454,6
78,0.025228360000000005,20.931034088134766,5915,33,60,InfiniteSteps180,24,6,60,trackA1,5,78,165.569985,BigMLazy,0.131481705,ok,0.156709079,29,1214,60
54,0.014517159000000002,19.0,3735,33,48,InfiniteSteps180,25,4,48,trackA2,3,54,122.66565,BigMLazy,0.100997507,ok,0.115513592,25,950,48
33,0.008994527000000002,22.375,2061,33,18,InfiniteSteps180,26,4,18,trackA3,3,33,30.914286,BigMLazy,0.021565986,ok,0.030559405,16,716,18
17,0.006334264999999999,19.214284896850586,1175,33,18,InfiniteSteps180,27,4,18,trackA4,3,17,17.254194000000002,BigMLazy,0.010746103,ok,0.017079133,14,538,18
14,0.005209133,19.25,876,33,19,InfiniteSteps180,28,3,19,trackA5,2,14,11.768431,BigMLazy,0.006420503,ok,0.011628676,12,462,19
5,0.0026829939999999997,18.625,307,33,11,InfiniteSteps180,29,2,11,trackA6,1,5,4.887262,BigMLazy,0.002060807,ok,0.004742897,8,298,11
6,0.002160371,12.625,126,33,10,InfiniteSteps180,30,2,10,trackA7,1,6,4.187794,BigMLazy,0.001894559,ok,0.004054402,8,202,10
162,0.030816897000008225,19.88888931274414,4862,33,146,InfiniteSteps180,31,11,146,trackA8,10,162,107419.626076,BigMLazy,107.388589579,ok,107.419405887,27,1074,146
43,0.011795857,20.049999237060547,2616,33,43,InfiniteSteps180,32,4,43,trackA9,3,43,54.484860000000005,BigMLazy,0.035136748,ok,0.046931421,20,802,43
19,0.007783982,18.176469802856445,1632,33,33,InfiniteSteps180,33,3,33,trackA10,2,19,14.865565,BigMLazy,0.006788505,ok,0.014571387,17,618,33
239,0.030249221000005377,20.482759475708008,6144,33,,InfiniteSteps180,34,9,96,trackA11,8,239,120084.48171800001,BigMLazy,119.971836309,timeout,120.002083169,29,1188,135
208,0.026942828000002805,21.714284896850586,6393,33,,InfiniteSteps180,35,7,101,trackA12,6,208,120345.763878,BigMLazy,119.975903249,timeout,120.00284362,28,1216,161
23,0.009052943,17.33333396911621,2022,25,14,InfiniteSteps180,36,4,14,trackB1,3,23,36.521137,BigMLazy,0.019114265,ok,0.028165738,18,624,14
5,0.002310159,14.800000190734863,87,25,26,InfiniteSteps180,37,2,26,trackB2,1,5,4.485595999999999,BigMLazy,0.001971334,ok,0.00428054,5,148,26
5,0.0020035730000000002,16.799999237060547,136,20,4,InfiniteSteps180,38,2,4,trackB3,1,5,4.189366,BigMLazy,0.001972818,ok,0.003975392,5,168,4
34,0.009130771999999999,15.949999809265137,2246,25,341,InfiniteSteps180,39,5,341,trackB4,4,34,42.143324,BigMLazy,0.027633001,ok,0.036762664,20,638,341
9,0.0027121899999999997,17.799999237060547,136,25,11,InfiniteSteps180,40,4,11,trackB5,3,9,8.280018,BigMLazy,0.005426524,ok,0.008137955,5,178,11
3,0.002191747,15.199999809265137,93,25,2,InfiniteSteps180,41,2,2,trackB6,1,3,4.164279,BigMLazy,0.001811784,ok,0.004001885,5,152,2
40,0.013422355000000004,15.25,2865,25,318,InfiniteSteps180,42,5,318,trackB7,4,40,70.02564,BigMLazy,0.050324295,ok,0.06374553,24,732,318
5,0.001939831,13.399999618530273,72,25,12,InfiniteSteps180,43,3,12,trackB8,2,5,4.674879,BigMLazy,0.00258355,ok,0.00452236,5,134,12
10,0.003035070000000001,13.571428298950195,150,25,51,InfiniteSteps180,44,4,51,trackB9,3,10,9.795041000000001,BigMLazy,0.006606941,ok,0.009641209,7,190,51
3,0.002471861,12.857142448425293,126,25,41,InfiniteSteps180,45,2,41,trackB10,1,3,4.814531000000001,BigMLazy,0.002216014,ok,0.00468692,7,180,41
