algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
2.260609647,20.93103448275862,5915,33,,Continuous,0,,111957,1,4909.0613601,origA1,634154,121.396180088,TI_CPLEX,120.21,no_solution,123.65678973499999,29,106947,
0.962113751,18.176470588235293,1632,33,5370,Continuous,1,5765.0,57282,1,3942.0185354,origA10,223024,121.313461964,TI_CPLEX,120.09,ok,122.275575715,17,54565,5765.0
2.234324316,19.833333333333332,6162,33,,Continuous,2,,109957,1,1189.0000002,origA11,849294,121.396107768,TI_CPLEX,120.11,no_solution,123.63043208399999,30,104979,
2.318689245,21.714285714285715,6393,33,,Continuous,3,,112103,1,1911.0,origA12,844032,121.482774525,TI_CPLEX,120.23,no_solution,123.80146377,28,107247,
1.692449439,19.0,3735,33,,Continuous,4,,87844,1,4786.0000002,origA2,476580,120.956834729,TI_CPLEX,120.07,no_solution,122.649284168,25,83745,
1.155896913,22.375,2061,33,,Continuous,5,,65995,1,1034.0,origA3,267914,120.705429523,TI_CPLEX,120.09,no_solution,121.86132643600001,16,63155,
0.853398884,19.214285714285715,1175,33,,Continuous,6,,49797,1,2268.0000001,origA4,188340,120.503688571,TI_CPLEX,120.07,no_solution,121.357087455,14,47491,
0.749109411,19.25,876,33,3332,Continuous,7,3420.0,42749,1,2200.0075772,origA5,182650,121.039447613,TI_CPLEX,120.11,ok,121.788557024,12,40770,3420.0
0.450181356,18.625,307,33,2068,Continuous,8,2170.0,27733,1,1771.0000011,origA6,77906,120.531129904,TI_CPLEX,120.04,ok,120.98131126,8,26427,2170.0
0.305254003,12.625,126,33,1918,Continuous,9,2036.0,18922,1,1526.0005362,origA7,79136,120.43138052,TI_CPLEX,120.03,ok,120.736634523,8,17803,2036.0
1.978651968,19.214285714285715,4877,33,,Continuous,10,,99505,1,3497.0,origA8,703778,121.332908403,TI_CPLEX,120.25,no_solution,123.311560371,28,94895,
1.324130259,20.05,2616,33,,Continuous,11,,74068,1,5281.000336,origA9,368458,120.80617062,TI_CPLEX,120.08,no_solution,122.130300879,20,70630,
1.034174101,17.333333333333332,2022,25,1024,Continuous,12,1306.0,57844,1,556.22727273,origB1,224362,121.346969081,TI_CPLEX,120.08,ok,122.381143182,18,55031,1306.0
0.28230326,11.375,130,25,6054,Continuous,13,6135.0,17164,1,5285.0001251,origB10,76300,120.395073849,TI_CPLEX,120.02,ok,120.677377109,8,16103,6135.0
1.597463882,15.4,3202,25,,Continuous,14,,71665,1,0.0,origB11,687468,120.936683082,TI_CPLEX,120.09,no_solution,122.534146964,25,67858,
0.64318564,16.214285714285715,970,25,918,Continuous,15,951.0,42237,1,951.0,origB12,147116,12.868499644,TI_CPLEX,12.07,ok,13.511685284,14,40121,951.0
0.231337648,14.8,87,25,347,Continuous,16,390.0,13883,1,390.0,origB2,55828,41.430781631,TI_CPLEX,41.15,ok,41.662119279,5,13145,390.0
0.273104742,16.8,136,20,785,Continuous,17,1002.9999999999999,15666,1,355.00000035,origB3,76474,120.382226894,TI_CPLEX,120.02,ok,120.655331636,5,14894,1002.9999999999999
1.155758007,15.95,2246,25,55031,Continuous,18,56180.0,59300,1,53460.000018,origB4,356280,121.716989192,TI_CPLEX,120.14,ok,122.872747199,20,56281,56180.0
0.268062556,17.8,136,25,312,Continuous,19,323.0,16580,1,213.0,origB5,56228,120.346598779,TI_CPLEX,120.03,ok,120.61466133500001,5,15733,323.0
0.239400372,15.2,93,25,176,Continuous,20,183.0,14219,1,183.0,origB6,53798,72.548382286,TI_CPLEX,72.25,ok,72.78778265800001,5,13422,183.0
