algorithm_time,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,internal_cost,intervals,iteration,lb,name,resource_constraints,sol_time,solver_name,solver_time,status,total_time,trains,travel_constraints,ub
2.329764484,20.93103448275862,5915,33,,FiniteSteps123,0,,111957,1,32.000000015,origA1,634154,121.818938734,TI_CPLEX,120.6,no_solution,124.148703218,29,106947,
1.040389362,18.176470588235293,1632,33,27,FiniteSteps123,1,30.0,57282,1,23.00000005,origA10,223024,121.494085936,TI_CPLEX,120.06,ok,122.534475298,17,54565,30.0
2.380578133,19.833333333333332,6162,33,,FiniteSteps123,2,,109957,1,2.0,origA11,849294,121.688481913,TI_CPLEX,120.41,no_solution,124.069060046,30,104979,
2.479005231,21.714285714285715,6393,33,,FiniteSteps123,3,,112103,1,0.0,origA12,844032,121.632003237,TI_CPLEX,120.33,no_solution,124.11100846800001,28,107247,
1.83766025,19.0,3735,33,,FiniteSteps123,4,,87844,1,37.000000011,origA2,476580,121.109460639,TI_CPLEX,120.15,no_solution,122.947120889,25,83745,
1.243865148,22.375,2061,33,,FiniteSteps123,5,,65995,1,17.000000001,origA3,267914,120.674732484,TI_CPLEX,120.06,no_solution,121.918597632,16,63155,
0.908319495,19.214285714285715,1175,33,,FiniteSteps123,6,,49797,1,19.000000002,origA4,188340,120.521983788,TI_CPLEX,120.08,no_solution,121.430303283,14,47491,
0.786329834,19.25,876,33,16,FiniteSteps123,7,20.0,42749,1,16.000000001,origA5,182650,121.090726472,TI_CPLEX,120.04,ok,121.877056306,12,40770,20.0
0.466667848,18.625,307,33,10,FiniteSteps123,8,11.0,27733,1,10.000000048,origA6,77906,120.586975789,TI_CPLEX,120.03,ok,121.053643637,8,26427,11.0
0.323073539,12.625,126,33,10,FiniteSteps123,9,10.0,18922,1,10.0,origA7,79136,8.399025131,TI_CPLEX,7.95,ok,8.72209867,8,17803,10.0
2.198026279,19.214285714285715,4877,33,,FiniteSteps123,10,,99505,1,9.0,origA8,703778,121.290635939,TI_CPLEX,120.17,no_solution,123.488662218,28,94895,
1.415709255,20.05,2616,33,26,FiniteSteps123,11,35.0,74068,1,30.000000072,origA9,368458,122.121129371,TI_CPLEX,120.15,ok,123.53683862599999,20,70630,35.0
1.061251227,17.333333333333332,2022,25,4,FiniteSteps123,12,19.0,57844,1,17.000000011,origB1,224362,121.425152402,TI_CPLEX,120.05,ok,122.486403629,18,55031,19.0
0.305660397,11.375,130,25,10,FiniteSteps123,13,11.0,17164,1,11.0,origB10,76300,82.6035432,TI_CPLEX,82.18,ok,82.909203597,8,16103,11.0
1.729397088,15.4,3202,25,,FiniteSteps123,14,,71665,1,23.000000998,origB11,687468,121.027450891,TI_CPLEX,120.14,no_solution,122.756847979,25,67858,
0.752018541,16.214285714285715,970,25,6,FiniteSteps123,15,13.0,42237,1,13.0,origB12,147116,18.916545239,TI_CPLEX,17.96,ok,19.66856378,14,40121,13.0
0.241269703,14.8,87,25,5,FiniteSteps123,16,5.0,13883,1,5.0,origB2,55828,55.504122836,TI_CPLEX,55.17,ok,55.745392539,5,13145,5.0
0.271028305,16.8,136,20,7,FiniteSteps123,17,7.0,15666,1,4.0000001357,origB3,76474,120.448490996,TI_CPLEX,120.02,ok,120.719519301,5,14894,7.0
1.238703431,15.95,2246,25,24,FiniteSteps123,18,30.0,59300,1,16.0,origB4,356280,121.88021449,TI_CPLEX,120.09,ok,123.118917921,20,56281,30.0
0.276080567,17.8,136,25,2,FiniteSteps123,19,3.0,16580,1,3.0,origB5,56228,28.376518421,TI_CPLEX,28.02,ok,28.652598988,5,15733,3.0
0.233814454,15.2,93,25,2,FiniteSteps123,20,3.0,14219,1,3.0,origB6,53798,43.783127565,TI_CPLEX,43.45,ok,44.016942019,5,13422,3.0
1.546790295,15.25,2865,25,,FiniteSteps123,21,,68135,1,23.000001846,origB7,537164,120.858785628,TI_CPLEX,120.08,no_solution,122.405575923,24,64489,
