algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.022606219000000004,2.162510056315366,20.931034088134766,5915,33,5526,Continuous,0,276,5526,10,origA1,1356,2688,1356,40,1,32.97485,MaxSatDddLadderScl,0.009933474,ok,0.032538881,29,56,178,5526
0.015655715,2.2533333333333334,19.0,3735,33,5804,Continuous,1,220,5804,16,origA2,1122,2197,1122,103,1,59.879725,MaxSatDddLadderScl,0.043637925,ok,0.059292777,25,49,66,5804
0.008606072,1.7677595628415301,22.375,2061,33,1329,Continuous,2,133,1329,7,origA3,525,1294,525,27,1,9.904850999999999,MaxSatDddLadderScl,0.000901603,ok,0.009506962,16,15,91,1329
0.018248817,1.9293478260869565,19.214284896850586,1175,33,2706,Continuous,3,98,2706,8,origA4,478,1065,478,25,1,19.127748,MaxSatDddLadderScl,0.00055858,ok,0.018806566,14,13,60,2706
0.005237357,1.9683544303797469,19.25,876,33,2634,Continuous,4,104,2634,8,origA5,434,933,434,15,1,6.055272,MaxSatDddLadderScl,0.00052867,ok,0.00576538,12,11,76,2634
0.003555862,1.738562091503268,18.625,307,33,2043,Continuous,5,93,2043,4,origA6,219,532,219,10,1,4.302880999999999,MaxSatDddLadderScl,0.000237223,ok,0.003791095,8,2,79,2043
0.003232024,2.657142857142857,12.625,126,33,1918,Continuous,6,81,1918,9,origA7,332,558,332,12,1,3.782483,MaxSatDddLadderScl,0.000288009,ok,0.003518927,8,7,62,1918
0.08784144599999877,5.190217391304348,19.214284896850586,4877,33,,Continuous,7,860,22627,38,origA8,4151,5730,4151,733,1,120615.03475400001,MaxSatDddLadderScl,120.521552115,timeout,120.609392598,28,120,6,37305
0.013433551,3.1338199513381997,20.049999237060547,2616,33,6178,Continuous,8,248,6178,12,origA9,1618,2576,1618,71,1,28.659366,MaxSatDddLadderScl,0.014798674,ok,0.028231494,20,76,99,6178
0.012741928,3.1543307086614174,18.176469802856445,1632,33,4746,Continuous,9,180,4746,13,origA10,1254,2003,1254,44,1,20.996574,MaxSatDddLadderScl,0.00695623,ok,0.019697284,17,44,90,4746
0.02923672599999999,3.4647540983606557,19.83333396911621,6162,33,3331,Continuous,10,290,3331,14,origA11,2721,4227,2721,156,1,396.20475,MaxSatDddLadderScl,0.366079039,ok,0.395315105,30,99,33,3331
0.061640672999999424,3.811897106109325,21.714284896850586,6393,33,4247,Continuous,11,580,4247,13,origA12,3199,4742,3199,392,1,17765.64991,MaxSatDddLadderScl,17.700485048,ok,17.762124868,28,96,90,4247
