algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.018465541999999998,1.5325824617860015,20.931034088134766,5915,33,11,FiniteSteps123,0,127,11,7,origA1,610,1905,610,11,1,20.568384,MaxSatDddLadderScl,0.000994416,ok,0.019458893,29,26,88,11
0.01358616,1.6615384615384616,19.0,3735,33,25,FiniteSteps123,1,100,25,6,origA2,586,1620,586,25,1,15.129329,MaxSatDddLadderScl,0.000660413,ok,0.014245873,25,24,49,25
0.010705539,1.7254098360655739,22.375,2061,33,10,FiniteSteps123,2,100,10,8,origA3,496,1263,496,10,1,12.386738,MaxSatDddLadderScl,0.000763207,ok,0.011467812,16,16,72,10
0.007405721999999999,2.005434782608696,19.214284896850586,1175,33,17,FiniteSteps123,3,155,17,6,origA4,516,1107,516,17,1,9.054577,MaxSatDddLadderScl,0.000914611,ok,0.008319541,14,17,119,17
0.005261856,1.6835443037974684,19.25,876,33,15,FiniteSteps123,4,114,15,4,origA5,305,798,305,15,1,6.394279,MaxSatDddLadderScl,0.000536692,ok,0.005797932,12,7,90,15
0.005298887,1.6993464052287581,18.625,307,33,10,FiniteSteps123,5,93,10,4,origA6,205,520,205,10,1,6.139742,MaxSatDddLadderScl,0.000251421,ok,0.005549433,8,3,78,10
0.004085833,1.8952380952380952,12.625,126,33,10,FiniteSteps123,6,55,10,6,origA7,174,398,174,10,1,5.149705,MaxSatDddLadderScl,0.000117309,ok,0.004202417,8,5,38,10
0.023512194,3.239130434782609,19.214284896850586,4877,33,31,FiniteSteps123,7,181,31,17,origA8,2277,3576,2277,31,2,31.291368,MaxSatDddLadderScl,0.006970308,ok,0.030481807,28,65,82,31
0.011405878,2.272506082725061,20.049999237060547,2616,33,18,FiniteSteps123,8,129,18,10,origA9,945,1868,945,18,2,13.62085,MaxSatDddLadderScl,0.001430973,ok,0.012836098,20,52,56,18
0.007940463,1.9921259842519685,18.176469802856445,1632,33,17,FiniteSteps123,9,123,17,9,origA10,571,1265,571,17,1,9.512034000000002,MaxSatDddLadderScl,0.001004913,ok,0.00894477,17,23,81,17
0.020745508,2.724590163934426,19.83333396911621,6162,33,23,FiniteSteps123,10,119,23,10,origA11,1901,3324,1901,23,1,25.962059999999997,MaxSatDddLadderScl,0.004448902,ok,0.025193709,30,70,24,23
0.023346677,2.2757234726688105,21.714284896850586,6393,33,24,FiniteSteps123,11,175,24,7,origA12,1438,2831,1438,24,1,28.37097,MaxSatDddLadderScl,0.004219759,ok,0.027565459,28,53,96,24
0.0056525970000000005,1.1199376947040498,17.33333396911621,2022,25,4,FiniteSteps123,12,39,4,4,origB1,71,719,71,4,1,6.560029999999999,MaxSatDddLadderScl,4.2731e-05,ok,0.005694596,18,2,31,4
