algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.019513417999999998,1.9082864038616252,20.931034088134766,5915,33,34,InfiniteSteps180,0,160,34,10,origA1,1067,2372,1067,12,1,22.072563,MaxSatDddLadderScl,0.001924686,ok,0.021437462,29,34,112,34
0.015046667,2.2246153846153844,19.0,3735,33,37,InfiniteSteps180,1,188,37,12,origA2,1091,2169,1091,37,1,18.736718,MaxSatDddLadderScl,0.002835403,ok,0.017881378,25,51,98,37
0.011128859,2.079234972677596,22.375,2061,33,14,InfiniteSteps180,2,174,14,7,origA3,742,1522,742,14,1,13.609824,MaxSatDddLadderScl,0.00186435,ok,0.012992178,16,24,136,14
0.005345857000000001,1.7608695652173914,19.214284896850586,1175,33,22,InfiniteSteps180,3,85,22,6,origA4,394,972,394,22,1,6.4097420000000005,MaxSatDddLadderScl,0.000394049,ok,0.005739156,14,8,55,22
0.004583412,1.7848101265822784,19.25,876,33,19,InfiniteSteps180,4,88,19,8,origA5,350,846,350,19,1,5.418443,MaxSatDddLadderScl,0.000326005,ok,0.004908625,12,7,60,19
0.00300274,1.6993464052287581,18.625,307,33,14,InfiniteSteps180,5,97,14,4,origA6,205,520,205,14,1,3.9292160000000003,MaxSatDddLadderScl,0.000256264,ok,0.003258241,8,3,78,14
0.002872431,2.080952380952381,12.625,126,33,15,InfiniteSteps180,6,80,15,6,origA7,213,437,213,15,1,3.838501,MaxSatDddLadderScl,0.000312587,ok,0.003183409,8,5,60,15
0.037498903999999986,6.5226449275362315,19.214284896850586,4877,33,136,InfiniteSteps180,7,295,136,54,origA8,5574,7201,5574,46,1,161.32551,MaxSatDddLadderScl,0.122890016,ok,0.160388116,28,200,47,136
0.012062052,2.8248175182481754,20.049999237060547,2616,33,40,InfiniteSteps180,8,196,40,12,origA9,1373,2322,1373,40,1,18.18375,MaxSatDddLadderScl,0.00528396,ok,0.017345066,20,64,90,40
0.010155884,3.152755905511811,18.176469802856445,1632,33,33,InfiniteSteps180,9,187,33,13,origA10,1273,2002,1273,23,1,15.101142999999999,MaxSatDddLadderScl,0.004167322,ok,0.014322176,17,52,110,33
0.021941524,2.5631147540983608,19.83333396911621,6162,33,25,InfiniteSteps180,10,144,25,13,origA11,1726,3127,1726,25,1,30.33352,MaxSatDddLadderScl,0.007697155,ok,0.02963797,30,77,40,25
0.030600601999999998,2.732315112540193,21.714284896850586,6393,33,29,InfiniteSteps180,11,256,29,10,origA12,1962,3399,1962,29,1,49.591381,MaxSatDddLadderScl,0.018206951,ok,0.048806616,28,69,156,29
0.0054757669999999994,1.2040498442367602,17.33333396911621,2022,25,7,InfiniteSteps180,12,74,7,4,origB1,123,773,123,7,1,6.158295,MaxSatDddLadderScl,0.000130734,ok,0.005605807,18,3,62,7
0.021941788,1.5163398692810457,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,4,origB2,72,232,72,5,1,32.138631000000004,MaxSatDddLadderScl,5.6024e-05,ok,0.021997096,5,3,45,5
0.002276573,2.346820809248555,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,6,origB3,219,406,219,7,1,3.3632839999999997,MaxSatDddLadderScl,0.000230165,ok,0.002505166,5,6,55,7
0.006181088,2.025835866261398,15.949999809265137,2246,25,301,InfiniteSteps180,15,72,301,13,origB4,653,1333,653,10,1,7.427061,MaxSatDddLadderScl,0.000671079,ok,0.006851411,20,36,24,301
0.002106776,1.546448087431694,17.799999237060547,136,25,2,InfiniteSteps180,16,73,2,3,origB5,96,283,96,2,1,2.815251,MaxSatDddLadderScl,0.000113067,ok,0.002218997,5,2,67,2
0.001939099,1.0127388535031847,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,2,origB6,0,159,0,2,1,2.619721,MaxSatDddLadderScl,8.991e-06,ok,0.001947237,5,0,0,2
0.010445509,3.1574074074074074,15.25,2865,25,370,InfiniteSteps180,18,117,370,25,origB7,1543,2387,1543,19,1,14.528341000000001,MaxSatDddLadderScl,0.003433761,ok,0.013878549,24,53,43,370
0.001800434,1.014388489208633,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,2,origB8,0,141,0,6,1,2.4463150000000002,MaxSatDddLadderScl,8.824e-06,ok,0.00180865,5,0,0,6
0.003088802,2.796954314720812,13.571428298950195,150,25,35,InfiniteSteps180,20,103,35,7,origB9,331,551,331,8,1,4.149338,MaxSatDddLadderScl,0.000498425,ok,0.003586458,7,10,83,35
0.002931739,3.042105263157895,11.375,130,25,34,InfiniteSteps180,21,88,34,11,origB10,359,578,359,10,1,3.9647509999999997,MaxSatDddLadderScl,0.000470664,ok,0.003401444,8,14,62,34
