algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.020157926,1.8431214802896219,20.931034088134766,5915,33,34,InfiniteSteps180,0,159,34,10,origA1,3208,48,2291,977,1088,12,1,22.617051999999997,MaxSatDddLadderRC2,0.001962566,ok,0.022120052,29,36,109,34
0.018520968999999998,2.2082051282051283,19.0,3735,33,37,InfiniteSteps180,1,214,37,12,origA2,3723,77,2153,1055,1270,37,2,24.310817,MaxSatDddLadderRC2,0.00517769,ok,0.023698042,25,50,124,37
0.011473459,2.0382513661202184,22.375,2061,33,14,InfiniteSteps180,2,184,14,8,origA3,2361,30,1492,707,807,14,1,13.621464999999999,MaxSatDddLadderRC2,0.001782561,ok,0.013255496,16,24,146,14
0.006151144,1.9021739130434783,19.214284896850586,1175,33,22,InfiniteSteps180,3,85,22,8,origA4,1582,22,1050,462,541,22,1,7.167853,MaxSatDddLadderRC2,0.000381965,ok,0.006532139,14,14,49,22
0.009805217,1.8206751054852321,19.25,876,33,19,InfiniteSteps180,4,102,19,8,origA5,1247,15,863,363,427,19,1,10.77919,MaxSatDddLadderRC2,0.000546638,ok,0.010351005,12,8,73,19
0.0034408330000000003,1.738562091503268,18.625,307,33,14,InfiniteSteps180,5,89,14,6,origA6,729,7,532,215,247,14,1,4.098713,MaxSatDddLadderRC2,0.000265648,ok,0.003706053,8,4,69,14
0.003159841,2.080952380952381,12.625,126,33,15,InfiniteSteps180,6,80,15,6,origA7,734,10,437,212,248,15,1,3.760453,MaxSatDddLadderRC2,0.000211071,ok,0.003370619,8,5,60,15
0.04062531,6.193840579710145,19.214284896850586,4877,33,136,InfiniteSteps180,7,272,136,47,origA8,17744,526,6838,5069,6025,46,1,126.13200899999998,MaxSatDddLadderRC2,0.084716919,ok,0.12534186,28,186,38,136
0.016227836,2.8819951338199514,20.049999237060547,2616,33,40,InfiniteSteps180,8,216,40,13,origA9,4821,103,2369,1384,1648,40,1,20.931539,MaxSatDddLadderRC2,0.003884697,ok,0.020111775,20,65,109,40
0.010798211,3.2141732283464566,18.176469802856445,1632,33,33,InfiniteSteps180,9,191,33,19,origA10,4330,71,2041,1291,1469,23,1,14.962968,MaxSatDddLadderRC2,0.003740719,ok,0.014538232,17,50,116,33
0.021295045,2.336885245901639,19.83333396911621,6162,33,25,InfiniteSteps180,10,124,25,9,origA11,5026,108,2851,1443,1733,25,1,25.988652000000002,MaxSatDddLadderRC2,0.004274822,ok,0.025569447,30,60,37,25
0.034740249,3.282958199356913,21.714284896850586,6393,33,29,InfiniteSteps180,11,226,29,13,origA12,8722,176,4084,2544,2991,29,1,64.690486,MaxSatDddLadderRC2,0.029484177,ok,0.064223882,28,89,106,29
0.005877468,1.2429906542056075,17.33333396911621,2022,25,7,InfiniteSteps180,12,96,7,4,origB1,514,5,798,147,180,7,1,6.5041020000000005,MaxSatDddLadderRC2,0.000223513,ok,0.006100468,18,3,84,7
0.002135961,1.5163398692810457,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,4,origB2,259,4,232,71,90,5,1,2.4854529999999997,MaxSatDddLadderRC2,5.5666e-05,ok,0.002191106,5,3,45,5
0.002486165,2.346820809248555,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,6,origB3,731,9,406,218,250,7,1,3.130109,MaxSatDddLadderRC2,0.000219724,ok,0.002705546,5,6,55,7
0.0064600610000000004,2.080547112462006,15.949999809265137,2246,25,301,InfiniteSteps180,15,94,301,20,origB4,2208,79,1369,635,738,10,1,7.611394,MaxSatDddLadderRC2,0.00074576,ok,0.007205488,20,53,29,301
0.002043403,1.546448087431694,17.799999237060547,136,25,2,InfiniteSteps180,16,73,2,3,origB5,317,3,283,94,110,2,1,2.452413,MaxSatDddLadderRC2,0.00011351,ok,0.002155529,5,2,67,2
0.001597888,1.0127388535031847,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,2,origB6,10,1,159,0,4,2,1,1.9090960000000001,MaxSatDddLadderRC2,7.465e-06,ok,0.001604749,5,0,0,2
0.008962837,3.0634920634920637,15.25,2865,25,370,InfiniteSteps180,18,91,370,24,origB7,5022,242,2316,1492,1624,19,1,11.751045,MaxSatDddLadderRC2,0.002393532,ok,0.011355804,24,68,2,370
0.001566426,1.014388489208633,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,2,origB8,22,1,141,0,8,6,1,1.874225,MaxSatDddLadderRC2,6.877e-06,ok,0.001572959,5,0,0,6
0.003089639,2.771573604060914,13.571428298950195,150,25,35,InfiniteSteps180,20,105,35,7,origB9,1110,14,546,326,382,8,1,3.929733,MaxSatDddLadderRC2,0.000538596,ok,0.003627894,7,8,87,35
0.002886256,3.031578947368421,11.375,130,25,34,InfiniteSteps180,21,88,34,11,origB10,1203,20,576,354,409,10,1,3.642158,MaxSatDddLadderRC2,0.000467425,ok,0.003353366,8,14,62,34
0.020582789999999997,5.018867924528302,15.399999618530273,3202,25,425,InfiniteSteps180,22,337,425,69,origB11,10575,615,3990,3138,3334,29,16,57.149877000000004,MaxSatDddLadderRC2,0.035929974,ok,0.056512387,25,216,75,425
0.0034450179999999998,1.4401709401709402,16.214284896850586,970,25,6,InfiniteSteps180,23,44,6,7,origB12,637,18,674,172,220,6,1,3.9544460000000003,MaxSatDddLadderRC2,9.0315e-05,ok,0.003534965,14,14,24,6
0.043191076,4.461786001609011,20.931034088134766,5915,33,60,InfiniteSteps180,24,200,60,19,trackA1,13174,302,5546,3856,4486,25,1,95.99735199999999,MaxSatDddLadderRC2,0.05222371,ok,0.095414379,29,109,64,60
0.031091821999999998,4.282051282051282,19.0,3735,33,48,InfiniteSteps180,25,269,48,18,trackA2,9972,242,4175,2858,3406,48,1,77.691042,MaxSatDddLadderRC2,0.046104923,ok,0.077196417,25,87,132,48
0.020854718,3.949453551912568,22.375,2061,33,18,InfiniteSteps180,26,230,18,14,trackA3,6682,130,2891,1950,2291,18,1,41.103404000000005,MaxSatDddLadderRC2,0.019736916,ok,0.04059097,16,67,143,18
0.009350383,2.8170289855072466,19.214284896850586,1175,33,18,InfiniteSteps180,27,172,18,11,trackA4,3126,52,1555,918,1072,18,1,12.704112,MaxSatDddLadderRC2,0.002960563,ok,0.012310601,14,30,122,18
0.005859668,2.49789029535865,19.25,876,33,19,InfiniteSteps180,28,112,19,11,trackA5,2239,41,1184,643,771,19,1,7.542120000000001,MaxSatDddLadderRC2,0.001354066,ok,0.007213331,12,28,63,19
0.00383473,2.0915032679738563,18.625,307,33,11,InfiniteSteps180,29,112,11,9,trackA6,1056,15,640,310,359,11,1,4.717448,MaxSatDddLadderRC2,0.000523362,ok,0.004357695,8,9,90,11
