algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.022236162,2.101367658889783,20.931034088134766,5915,33,5526,Continuous,0,251,5526,10,origA1,4650,61,2612,1281,1668,36,1,30.900501000000002,MaxSatDddLadderScl,0.007750918,ok,0.029986413,29,47,166,5526
0.015869818,2.3764102564102565,19.0,3735,33,5804,Continuous,1,213,5804,16,origA2,6489,83,2317,1238,2592,80,1,36.414457999999996,MaxSatDddLadderScl,0.019533122,ok,0.035402379,25,54,77,5804
0.008977832,1.7677595628415301,22.375,2061,33,1329,Continuous,2,133,1329,7,origA3,1873,22,1294,525,671,27,1,10.865533000000001,MaxSatDddLadderScl,0.000944639,ok,0.009921856,16,15,91,1329
0.007235376,1.9293478260869565,19.214284896850586,1175,33,2706,Continuous,3,98,2706,8,origA4,1759,21,1065,478,637,25,1,8.489108,MaxSatDddLadderScl,0.000525138,ok,0.007760036,14,13,60,2706
0.005590721,1.9683544303797469,19.25,876,33,2634,Continuous,4,104,2634,8,origA5,1482,16,933,434,517,15,1,6.6753350000000005,MaxSatDddLadderScl,0.000527305,ok,0.006117706,12,11,76,2634
0.003696121,1.738562091503268,18.625,307,33,2043,Continuous,5,93,2043,4,origA6,744,5,532,219,261,10,1,4.726572,MaxSatDddLadderScl,0.000235807,ok,0.00393161,8,2,79,2043
0.00333688,2.657142857142857,12.625,126,33,1918,Continuous,6,81,1918,9,origA7,1095,12,558,332,375,12,1,4.1979180000000005,MaxSatDddLadderScl,0.000330315,ok,0.003666745,8,7,62,1918
0.09367373100000975,5.2146739130434785,19.214284896850586,4877,33,,Continuous,7,867,22630,41,origA8,185316,477,5757,4180,59061,739,1,121050.796875,MaxSatDddLadderScl,120.950813082,timeout,121.044486104,28,121,6,37305
0.013896120000000001,3.1982968369829683,20.049999237060547,2616,33,6178,Continuous,8,254,6178,11,origA9,6780,101,2629,1676,2534,72,1,31.340988,MaxSatDddLadderScl,0.016428381,ok,0.030323909,20,69,111,6178
0.00985225,3.1858267716535433,18.176469802856445,1632,33,4746,Continuous,9,202,4746,13,origA10,4831,75,2023,1281,1749,42,1,21.049335999999997,MaxSatDddLadderScl,0.010550773,ok,0.02040235,17,46,112,4746
0.026791781000000015,3.39672131147541,19.83333396911621,6162,33,3331,Continuous,10,265,3331,16,origA11,22970,197,4144,2640,8866,135,1,209.527573,MaxSatDddLadderScl,0.181502485,ok,0.20829353,30,93,35,3331
0.06409272500000185,3.919614147909968,21.714284896850586,6393,33,4247,Continuous,11,651,4247,14,origA12,137487,237,4876,3298,45431,460,1,20583.088681,MaxSatDddLadderScl,20.514623277,ok,20.578715127,28,100,89,4247
0.005566141,1.250778816199377,17.33333396911621,2022,25,969,Continuous,12,92,969,4,origB1,519,5,803,153,181,6,1,6.434963,MaxSatDddLadderScl,0.000192253,ok,0.005758057,18,3,83,969
0.001940023,1.5163398692810457,14.800000190734863,87,25,347,Continuous,13,52,347,4,origB2,251,4,232,72,86,4,1,2.625998,MaxSatDddLadderScl,5.4855e-05,ok,0.001994439,5,3,45,347
0.002329049,2.491329479768786,16.799999237060547,136,20,629,Continuous,14,85,629,6,origB3,836,9,431,244,293,10,1,3.153867,MaxSatDddLadderScl,0.000227851,ok,0.002556585,5,6,69,629
0.006929579000000001,2.405775075987842,15.949999809265137,2246,25,53607,Continuous,15,115,53607,19,origB4,3115,85,1583,871,1084,25,1,10.051321,MaxSatDddLadderScl,0.002472322,ok,0.009401547,20,38,50,53607
0.0023731290000000003,1.7978142076502732,17.799999237060547,136,25,288,Continuous,16,104,288,4,origB5,460,4,329,139,159,4,1,3.1657249999999997,MaxSatDddLadderScl,0.000153464,ok,0.002526248,5,3,97,288
