algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.017251420000000003,1.5325824617860015,20.931034088134766,5915,33,11,FiniteSteps123,0,127,11,7,origA1,2027,33,1905,610,687,11,1,19.004558000000003,MaxSatDddLadderScl,0.000991614,ok,0.018242407,29,26,88,11
0.011726133,1.594871794871795,19.0,3735,33,25,FiniteSteps123,1,97,25,6,origA2,1839,36,1555,528,620,25,1,12.892807,MaxSatDddLadderScl,0.000555528,ok,0.01228121,25,20,50,25
0.007916738,1.719945355191257,22.375,2061,33,10,FiniteSteps123,2,91,10,8,origA3,1623,23,1259,492,546,10,2,9.096995,MaxSatDddLadderScl,0.000566616,ok,0.00848288,16,16,62,10
0.007486986,2.01268115942029,19.214284896850586,1175,33,17,FiniteSteps123,3,137,17,6,origA4,1754,23,1111,524,595,17,1,8.934014000000001,MaxSatDddLadderScl,0.000828576,ok,0.008315034,14,15,103,17
0.00453185,1.5843881856540085,19.25,876,33,15,FiniteSteps123,4,79,15,4,origA5,886,11,751,260,301,15,1,5.36969,MaxSatDddLadderScl,0.000252368,ok,0.00478363,12,6,56,15
0.007979707,1.6993464052287581,18.625,307,33,10,FiniteSteps123,5,93,10,4,origA6,682,6,520,205,230,10,1,9.435174,MaxSatDddLadderScl,0.000254705,ok,0.008233904,8,3,78,10
0.003623105,1.8952380952380952,12.625,126,33,10,FiniteSteps123,6,55,10,6,origA7,598,10,398,174,200,10,1,4.4388309999999995,MaxSatDddLadderScl,0.000126401,ok,0.003749101,8,5,38,10
0.02230207,3.238224637681159,19.214284896850586,4877,33,31,FiniteSteps123,7,177,31,20,origA8,7610,230,3575,2223,2547,31,2,29.993893,MaxSatDddLadderScl,0.007001166,ok,0.029302844,28,62,81,31
0.012787081,2.3442822384428226,20.049999237060547,2616,33,18,FiniteSteps123,8,137,18,11,origA9,3392,79,1927,1003,1133,18,1,15.591551,MaxSatDddLadderScl,0.002138217,ok,0.014924584,20,55,62,18
0.006830875,1.9622047244094487,18.176469802856445,1632,33,17,FiniteSteps123,9,95,17,11,origA10,1898,38,1246,553,638,17,1,8.152783,MaxSatDddLadderScl,0.000700015,ok,0.007530589,17,22,54,17
0.019612873,2.322950819672131,19.83333396911621,6162,33,23,FiniteSteps123,10,118,23,8,origA11,4960,101,2834,1449,1700,23,1,23.792406,MaxSatDddLadderScl,0.003465017,ok,0.023077452,30,56,37,23
0.031877553,2.4364951768488745,21.714284896850586,6393,33,24,FiniteSteps123,11,231,24,8,origA12,5520,104,3031,1622,1888,24,1,43.924482,MaxSatDddLadderScl,0.011185188,ok,0.043061946,28,56,149,24
0.0051725,1.1199376947040498,17.33333396911621,2022,25,4,FiniteSteps123,12,39,4,4,origB1,242,4,719,71,81,4,1,5.86904,MaxSatDddLadderScl,5.3367e-05,ok,0.005225321,18,2,31,4
0.001969265,1.5163398692810457,14.800000190734863,87,25,5,FiniteSteps123,13,53,5,4,origB2,254,4,232,72,87,5,1,2.583793,MaxSatDddLadderScl,5.4189e-05,ok,0.002023084,5,3,45,5
0.0022621900000000003,2.0,16.799999237060547,136,20,5,FiniteSteps123,14,50,5,6,origB3,541,8,346,161,183,5,1,2.903152,MaxSatDddLadderScl,0.000105306,ok,0.00236717,5,5,38,5
0.0068349990000000005,1.7887537993920972,15.949999809265137,2246,25,16,FiniteSteps123,15,100,16,13,origB4,1626,62,1177,448,543,16,1,8.154447000000001,MaxSatDddLadderScl,0.000670703,ok,0.007505313,20,38,44,16
