algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.024155499,1.8028962188254223,20.931034088134766,5915,33,34,InfiniteSteps180,0,149,34,11,origA1,3070,43,2241,947,1036,12,1,27.271837,MaxSatDddLadderScl,0.001621333,ok,0.025776032,29,29,106,34
0.016273395000000003,2.0246153846153847,19.0,3735,33,37,InfiniteSteps180,1,193,37,11,origA2,3197,59,1974,914,1089,37,1,20.610821,MaxSatDddLadderScl,0.003630322,ok,0.019903136,25,39,115,37
0.010277987,2.080601092896175,22.375,2061,33,14,InfiniteSteps180,2,181,14,7,origA3,2462,32,1523,744,838,14,1,12.816612,MaxSatDddLadderScl,0.001839325,ok,0.012116795,16,26,141,14
0.0056965950000000005,1.815217391304348,19.214284896850586,1175,33,22,InfiniteSteps180,3,85,22,7,origA4,1433,17,1002,423,488,22,1,6.711792,MaxSatDddLadderScl,0.000394164,ok,0.006090281,14,9,54,22
0.005517269,2.2257383966244726,19.25,876,33,19,InfiniteSteps180,4,128,19,11,origA5,1832,22,1055,545,623,19,1,7.187529,MaxSatDddLadderScl,0.000795833,ok,0.006312673,12,15,92,19
0.004035742,1.6993464052287581,18.625,307,33,14,InfiniteSteps180,5,97,14,4,origA6,697,6,520,205,237,14,1,5.226462000000001,MaxSatDddLadderScl,0.000277113,ok,0.004312323,8,3,78,14
0.003056952,2.080952380952381,12.625,126,33,15,InfiniteSteps180,6,80,15,6,origA7,735,10,437,213,248,15,1,4.104052,MaxSatDddLadderScl,0.000204178,ok,0.003260639,8,5,60,15
0.03652124599999999,6.240036231884058,19.214284896850586,4877,33,136,InfiniteSteps180,7,286,136,46,origA8,18126,553,6889,5222,6123,46,1,140.953045,MaxSatDddLadderScl,0.103360089,ok,0.139880683,28,190,48,136
0.012436415,2.8041362530413627,20.049999237060547,2616,33,40,InfiniteSteps180,8,178,40,12,origA9,4662,106,2305,1353,1584,40,1,17.780355,MaxSatDddLadderScl,0.004215515,ok,0.016651428,20,64,72,40
0.009591038999999999,3.015748031496063,18.176469802856445,1632,33,33,InfiniteSteps180,9,166,33,19,origA10,3963,77,1915,1176,1340,23,1,12.703104,MaxSatDddLadderScl,0.002494426,ok,0.012085102,17,54,87,33
0.02357712,2.7270491803278687,19.83333396911621,6162,33,25,InfiniteSteps180,10,165,25,11,origA11,6483,135,3327,1900,2220,25,1,35.280336000000005,MaxSatDddLadderScl,0.010858419,ok,0.034434969,30,70,68,25
0.032183775,3.027331189710611,21.714284896850586,6393,33,29,InfiniteSteps180,11,248,29,12,origA12,7797,145,3766,2297,2666,29,1,56.342478,MaxSatDddLadderScl,0.023064027,ok,0.055247313,28,79,138,29
0.00586649,1.2398753894080996,17.33333396911621,2022,25,7,InfiniteSteps180,12,96,7,4,origB1,509,5,796,146,178,7,1,6.685128000000001,MaxSatDddLadderScl,0.000233092,ok,0.006099245,18,3,84,7
0.002504006,1.5163398692810457,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,4,origB2,260,4,232,72,90,5,1,3.297925,MaxSatDddLadderScl,5.5455e-05,ok,0.002559048,5,3,45,5
0.005366412,2.346820809248555,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,6,origB3,732,9,406,219,250,7,1,6.216735,MaxSatDddLadderScl,0.000254445,ok,0.005620534,5,6,55,7
0.006077916,2.2051671732522795,15.949999809265137,2246,25,301,InfiniteSteps180,15,70,301,14,origB4,2532,83,1451,790,822,10,1,7.4518450000000005,MaxSatDddLadderScl,0.000705893,ok,0.006783457,20,45,13,301
0.0034142070000000003,1.546448087431694,17.799999237060547,136,25,2,InfiniteSteps180,16,73,2,3,origB5,319,3,283,96,110,2,1,4.262979,MaxSatDddLadderScl,0.000191186,ok,0.00360481,5,2,67,2
0.001609229,1.0127388535031847,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,2,origB6,10,1,159,0,4,2,1,2.1933130000000003,MaxSatDddLadderScl,6.827e-06,ok,0.001615697,5,0,0,2
0.008778825,3.0952380952380953,15.25,2865,25,370,InfiniteSteps180,18,115,370,23,origB7,5153,238,2340,1507,1677,19,1,12.878934999999998,MaxSatDddLadderScl,0.003465239,ok,0.012243531,24,50,44,370
0.001580487,1.014388489208633,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,2,origB8,22,1,141,0,8,6,1,2.10956,MaxSatDddLadderScl,7.689e-06,ok,0.001587833,5,0,0,6
0.003008073,2.761421319796954,13.571428298950195,150,25,35,InfiniteSteps180,20,99,35,7,origB9,1086,14,544,326,370,8,1,4.041241,MaxSatDddLadderScl,0.000503217,ok,0.003510937,7,8,81,35
0.002648124,2.9,11.375,130,25,34,InfiniteSteps180,21,92,34,9,origB10,1128,20,551,331,383,10,1,3.655664,MaxSatDddLadderScl,0.000487164,ok,0.00313497,8,13,67,34
0.016612678,4.735849056603773,15.399999618530273,3202,25,425,InfiniteSteps180,22,238,425,54,origB11,10078,565,3765,2993,3176,29,2,46.734882,MaxSatDddLadderScl,0.029223133,ok,0.045835251,25,173,33,425
0.003445409,1.4401709401709402,16.214284896850586,970,25,6,InfiniteSteps180,23,44,6,7,origB12,640,18,674,175,220,6,1,4.0768439999999995,MaxSatDddLadderScl,8.6202e-05,ok,0.003531134,14,14,24,6
0.051582564,4.576830249396621,20.931034088134766,5915,33,60,InfiniteSteps180,24,295,60,21,trackA1,13674,305,5689,4061,4631,25,1,150.50961099999998,MaxSatDddLadderScl,0.097742195,ok,0.149324171,29,123,145,60
0.030423622999999997,4.257435897435897,19.0,3735,33,48,InfiniteSteps180,25,265,48,18,trackA2,9909,239,4151,2871,3373,48,1,79.844159,MaxSatDddLadderScl,0.047682508,ok,0.078105363,25,87,128,48
0.01532243,4.0150273224043715,22.375,2061,33,18,InfiniteSteps180,26,203,18,13,trackA3,6831,133,2939,2024,2326,18,1,26.958742,MaxSatDddLadderScl,0.010997972,ok,0.026319875,16,69,114,18
0.009052345,2.9818840579710146,19.214284896850586,1175,33,18,InfiniteSteps180,27,172,18,13,trackA4,3418,57,1646,1019,1164,18,1,12.741811,MaxSatDddLadderScl,0.003058358,ok,0.012110137,14,33,119,18
0.005440769000000001,2.3628691983122363,19.25,876,33,19,InfiniteSteps180,28,94,19,13,trackA5,2063,37,1120,598,708,19,1,7.187632,MaxSatDddLadderScl,0.000998384,ok,0.006438576,12,25,48,19
0.0035314139999999996,2.1405228758169934,18.625,307,33,11,InfiniteSteps180,29,103,11,9,trackA6,1103,18,655,325,374,11,1,4.5741439999999995,MaxSatDddLadderScl,0.000473743,ok,0.004004749,8,11,79,11
0.002469915,2.1523809523809523,12.625,126,33,10,InfiniteSteps180,30,61,10,6,trackA7,780,13,452,225,270,10,1,3.203294,MaxSatDddLadderScl,0.000206093,ok,0.002675669,8,6,45,10
0.10248390399999963,17.91371480472298,19.88888931274414,4862,33,146,InfiniteSteps180,31,458,146,108,trackA8,59942,2651,19723,16737,19921,73,7,7838.347229,MaxSatDddLadderScl,7.732132013,ok,7.834615229,27,296,81,146
0.018358834999999997,4.739659367396594,20.049999237060547,2616,33,43,InfiniteSteps180,32,215,43,21,trackA9,9595,235,3896,2798,3251,43,1,42.762698,MaxSatDddLadderScl,0.023586096,ok,0.041944559,20,105,65,43
0.008955518999999999,3.204724409448819,18.176469802856445,1632,33,33,InfiniteSteps180,33,139,33,15,trackA10,4349,86,2035,1281,1480,19,1,13.291062,MaxSatDddLadderScl,0.003686661,ok,0.012641308,17,46,72,33
0.08631998499998872,22.942481511914544,20.482759475708008,6144,33,,InfiniteSteps180,34,340,97,190,trackA11,89323,4836,27921,23438,29642,97,1,121609.622112,MaxSatDddLadderScl,121.521108549,timeout,121.607427998,29,241,0,428
0.0711993790000065,19.609324758842444,21.714284896850586,6393,33,,InfiniteSteps180,35,284,101,179,trackA12,77529,3929,24394,20229,25900,101,1,122538.711041,MaxSatDddLadderScl,122.464393123,timeout,122.535591884,28,181,0,575
0.010304648,3.0825545171339566,17.33333396911621,2022,25,14,InfiniteSteps180,36,98,14,15,trackB1,4215,101,1979,1247,1422,14,1,15.001297000000001,MaxSatDddLadderScl,0.003688225,ok,0.013992453,18,49,33,14
0.005326869000000001,1.8888888888888888,14.800000190734863,87,25,26,InfiniteSteps180,37,50,26,6,trackB2,494,10,289,121,184,9,1,7.6686749999999995,MaxSatDddLadderScl,0.000124371,ok,0.005450799,5,5,34,26
0.002592685,2.653179190751445,16.799999237060547,136,20,4,InfiniteSteps180,38,57,4,8,trackB3,867,21,459,253,295,4,1,3.3574379999999997,MaxSatDddLadderScl,0.000219961,ok,0.00281232,5,14,39,4
0.015238348999999998,5.732522796352583,15.949999809265137,2246,25,341,InfiniteSteps180,39,234,341,38,trackB4,9850,256,3772,2802,3357,22,1,56.480729000000004,MaxSatDddLadderScl,0.04047617,ok,0.055713995,20,127,83,341
0.004021804,3.9453551912568305,17.799999237060547,136,25,11,InfiniteSteps180,40,87,11,10,trackB5,1767,40,722,492,618,11,1,5.8302249999999995,MaxSatDddLadderScl,0.000847036,ok,0.004868445,5,27,47,11
0.002438142,1.7070063694267517,15.199999809265137,93,25,2,InfiniteSteps180,41,51,2,4,trackB6,349,4,268,106,119,2,1,3.212196,MaxSatDddLadderScl,8.8475e-05,ok,0.002526274,5,1,46,2
0.023646421,4.256613756613756,15.25,2865,25,318,InfiniteSteps180,42,220,318,24,trackB7,7739,202,3218,2213,2637,24,4,60.223427,MaxSatDddLadderScl,0.0336331,ok,0.057279142,24,94,97,318
0.002876127,3.079136690647482,13.399999618530273,72,25,12,InfiniteSteps180,43,107,12,9,trackB8,981,18,428,260,348,12,2,4.006553,MaxSatDddLadderScl,0.000506233,ok,0.003381937,5,13,79,12
0.0036485550000000004,5.071065989847716,13.571428298950195,150,25,51,InfiniteSteps180,44,124,51,15,trackB9,2524,71,999,728,854,10,1,5.948808,MaxSatDddLadderScl,0.001676342,ok,0.00532462,7,46,66,51
0.003069534,1.320855614973262,12.857142448425293,126,25,41,InfiniteSteps180,45,22,41,4,trackB10,199,5,247,53,68,6,1,4.093864,MaxSatDddLadderScl,2.566e-05,ok,0.00309488,7,2,14,41
0.014585233999999999,3.9572327044025157,15.399999618530273,3202,25,391,InfiniteSteps180,46,168,391,21,trackB11,7440,183,3146,2130,2542,26,1,36.322379000000005,MaxSatDddLadderScl,0.020802036,ok,0.035386705,25,82,58,391
0.009519745000000003,4.188034188034188,16.214284896850586,970,25,88,InfiniteSteps180,47,184,88,28,trackB12,6050,175,1960,1297,2222,41,3,55.629522,MaxSatDddLadderScl,0.045176291,ok,0.054695108,14,76,63,88
0.034962706999999996,5.308930008045052,20.931034088134766,5915,33,81,InfiniteSteps180,48,190,81,17,stationA1,16747,412,6599,4842,5720,46,1,106.382852,MaxSatDddLadderScl,0.070021104,ok,0.10498315,29,113,29,81
0.02619739700000001,5.593846153846154,19.0,3735,33,59,InfiniteSteps180,49,211,59,26,stationA2,14396,392,5454,4005,4925,59,1,89.78586800000001,MaxSatDddLadderScl,0.06271165,ok,0.088908346,25,108,42,59
0.014399305000000001,4.602459016393443,22.375,2061,33,26,InfiniteSteps180,50,194,26,16,stationA3,8359,155,3369,2432,2863,26,3,31.692314,MaxSatDddLadderScl,0.016598283,ok,0.030997242,16,81,83,26
0.007103286,3.092391304347826,19.214284896850586,1175,33,22,InfiniteSteps180,51,123,22,14,stationA4,3623,75,1707,1058,1236,22,1,9.767505,MaxSatDddLadderScl,0.002054962,ok,0.009157891,14,45,54,22
0.006489238,3.3797468354430378,19.25,876,33,23,InfiniteSteps180,52,162,23,15,stationA5,3592,73,1602,1045,1223,23,1,10.945649999999999,MaxSatDddLadderScl,0.003883071,ok,0.010371658,12,45,92,23
0.002991568,1.6372549019607843,18.625,307,33,15,InfiniteSteps180,53,56,15,5,stationA6,649,8,501,183,225,15,1,3.719337,MaxSatDddLadderScl,0.000141463,ok,0.003132691,8,4,35,15
0.0050709399999999995,3.052380952380952,12.625,126,33,16,InfiniteSteps180,54,150,16,8,stationA7,1407,14,641,410,488,16,1,7.720416,MaxSatDddLadderScl,0.000800587,ok,0.005871128,8,9,123,16
0.1263180300000002,24.42960944595822,19.88888931274414,4862,33,161,InfiniteSteps180,55,562,161,128,stationA8,82601,3946,26897,22966,27374,87,5,47123.490789999996,MaxSatDddLadderScl,46.994980348,ok,47.121297986,27,451,18,161
0.017379108999999997,4.599756690997567,20.049999237060547,2616,33,49,InfiniteSteps180,56,205,49,22,stationA9,9363,215,3781,2673,3207,49,1,42.386916,MaxSatDddLadderScl,0.02407182,ok,0.041450313,20,86,68,49
0.008365939999999999,3.0236220472440944,18.176469802856445,1632,33,41,InfiniteSteps180,57,125,41,17,stationA10,4109,96,1920,1179,1405,27,1,12.868953000000001,MaxSatDddLadderScl,0.003923153,ok,0.012288667,17,54,42,41
0.06617789899999593,18.401807723911258,20.482759475708008,6144,33,,InfiniteSteps180,58,281,103,163,stationA11,71797,3550,22395,18542,24119,103,1,126685.230541,MaxSatDddLadderScl,126.616462716,timeout,126.682640035,29,177,0,413
0.05813806300000124,16.925241157556272,21.714284896850586,6393,33,,InfiniteSteps180,59,252,105,150,stationA12,67833,3269,21055,17287,22832,105,1,133941.055039,MaxSatDddLadderScl,133.88112137,timeout,133.939259126,28,146,0,562
