algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.021926605000000002,2.1053901850362027,20.931034088134766,5915,33,5526,Continuous,0,251,5526,10,origA1,4679,63,2617,1290,1677,36,1,31.031495999999997,MaxSatDddLadderScl,0.008388781,ok,0.03031491,29,49,164,5526
0.020789266,2.2687179487179487,19.0,3735,33,5804,Continuous,1,227,5804,17,origA2,9829,78,2212,1141,4072,104,1,70.440221,MaxSatDddLadderScl,0.044594728,ok,0.065383563,25,53,68,5804
0.008395634,1.7677595628415301,22.375,2061,33,1329,Continuous,2,133,1329,7,origA3,1873,22,1294,525,671,27,1,10.327388,MaxSatDddLadderScl,0.001246196,ok,0.009641143,16,15,91,1329
0.005511105,1.9293478260869565,19.214284896850586,1175,33,2706,Continuous,3,98,2706,8,origA4,1759,21,1065,478,637,25,1,6.837178,MaxSatDddLadderScl,0.000606561,ok,0.006117334,14,13,60,2706
0.005870490999999999,1.9683544303797469,19.25,876,33,2634,Continuous,4,104,2634,8,origA5,1482,16,933,434,517,15,1,7.238163,MaxSatDddLadderScl,0.000547416,ok,0.006417292,12,11,76,2634
0.003187212,1.738562091503268,18.625,307,33,2043,Continuous,5,93,2043,4,origA6,744,5,532,219,261,10,1,4.123716,MaxSatDddLadderScl,0.000231849,ok,0.00341876,8,2,79,2043
0.002786699,2.657142857142857,12.625,126,33,1918,Continuous,6,81,1918,9,origA7,1095,12,558,332,375,12,1,3.726039,MaxSatDddLadderScl,0.000298868,ok,0.00308504,8,7,62,1918
0.08429418800000121,5.170289855072464,19.214284896850586,4877,33,,Continuous,7,910,22623,40,origA8,186187,463,5708,4153,59634,789,1,120479.389815,MaxSatDddLadderScl,120.38846714,timeout,120.472760892,28,116,4,37305
0.014937593,3.116788321167883,20.049999237060547,2616,33,6178,Continuous,8,243,6178,11,origA9,6169,98,2562,1615,2255,61,1,30.152928,MaxSatDddLadderScl,0.01433066,ok,0.02926764,20,66,114,6178
0.010477182999999998,3.3874015748031496,18.176469802856445,1632,33,4746,Continuous,9,228,4746,13,origA10,6087,76,2151,1406,2296,54,1,28.381873,MaxSatDddLadderScl,0.017109972,ok,0.027586691,17,47,125,4746
0.029217977000000006,3.4868852459016395,19.83333396911621,6162,33,3331,Continuous,10,297,3331,15,origA11,31328,206,4254,2744,11671,162,1,437.196126,MaxSatDddLadderScl,0.405099881,ok,0.434317284,30,103,30,3331
0.05904565700000042,3.810289389067524,21.714284896850586,6393,33,4247,Continuous,11,556,4247,13,origA12,119335,222,4740,3180,38536,346,1,14527.313374,MaxSatDddLadderScl,14.464629879,ok,14.523674713,28,99,109,4247
0.006072036,1.250778816199377,17.33333396911621,2022,25,969,Continuous,12,92,969,4,origB1,519,5,803,153,181,6,1,6.831343,MaxSatDddLadderScl,0.00018024,ok,0.006251851,18,3,83,969
0.0018990329999999998,1.5163398692810457,14.800000190734863,87,25,347,Continuous,13,52,347,4,origB2,251,4,232,72,86,4,1,2.5293910000000004,MaxSatDddLadderScl,5.3831e-05,ok,0.001952412,5,3,45,347
0.002374934,2.491329479768786,16.799999237060547,136,20,629,Continuous,14,85,629,6,origB3,836,9,431,244,293,10,1,3.163553,MaxSatDddLadderScl,0.000225753,ok,0.002600321,5,6,69,629
