algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.018112694000000002,1.8125502815768302,20.931034088134766,5915,33,34,InfiniteSteps180,0,149,34,11,origA1,3117,42,2253,963,1052,12,1,20.586809000000002,MaxSatDddLadderScl,0.001665403,ok,0.019777099,29,29,106,34
0.014228851,1.962051282051282,19.0,3735,33,37,InfiniteSteps180,1,162,37,11,origA2,3008,61,1913,857,1024,37,1,17.408137,MaxSatDddLadderScl,0.002128832,ok,0.016357153,25,39,84,37
0.010267245,2.057377049180328,22.375,2061,33,14,InfiniteSteps180,2,184,14,8,origA3,2405,32,1506,723,820,14,1,12.914965,MaxSatDddLadderScl,0.001967418,ok,0.012234291,16,25,145,14
0.005290231,1.7826086956521738,19.214284896850586,1175,33,22,InfiniteSteps180,3,85,22,6,origA4,1377,18,984,403,470,22,1,6.205311,MaxSatDddLadderScl,0.000382939,ok,0.005672822,14,10,53,22
0.005737833,1.919831223628692,19.25,876,33,19,InfiniteSteps180,4,114,19,10,origA5,1395,17,910,411,476,19,1,6.988075,MaxSatDddLadderScl,0.00065857,ok,0.006395908,12,10,83,19
0.0038337460000000003,1.6993464052287581,18.625,307,33,14,InfiniteSteps180,5,97,14,4,origA6,697,6,520,205,237,14,1,4.688936,MaxSatDddLadderScl,0.000259966,ok,0.004093211,8,3,78,14
0.003200166,2.080952380952381,12.625,126,33,15,InfiniteSteps180,6,80,15,6,origA7,735,10,437,213,248,15,1,4.28068,MaxSatDddLadderScl,0.000204942,ok,0.003404625,8,5,60,15
0.033976305,6.057971014492754,19.214284896850586,4877,33,136,InfiniteSteps180,7,278,136,44,origA8,17557,503,6688,5084,5919,46,1,117.93313900000001,MaxSatDddLadderScl,0.083048912,ok,0.117024892,28,173,57,136
0.012903985,2.8552311435523112,20.049999237060547,2616,33,40,InfiniteSteps180,8,199,40,13,origA9,4790,98,2347,1408,1623,40,1,17.886277999999997,MaxSatDddLadderScl,0.004189676,ok,0.017093155,20,63,94,40
0.010240617,2.768503937007874,18.176469802856445,1632,33,33,InfiniteSteps180,9,155,33,12,origA10,3481,63,1758,1030,1182,23,1,14.399477000000001,MaxSatDddLadderScl,0.002854461,ok,0.013094445,17,42,88,33
0.021805754000000004,2.65,19.83333396911621,6162,33,25,InfiniteSteps180,10,138,25,10,origA11,6186,131,3233,1816,2114,25,1,29.291168,MaxSatDddLadderScl,0.006549642,ok,0.028354891,30,71,40,25
0.026463628,2.6366559485530545,21.714284896850586,6393,33,29,InfiniteSteps180,11,198,29,11,origA12,6352,123,3280,1842,2187,29,1,43.481047000000004,MaxSatDddLadderScl,0.016304878,ok,0.042768025,28,64,103,29
0.005675805,1.2429906542056075,17.33333396911621,2022,25,7,InfiniteSteps180,12,96,7,4,origB1,515,5,798,148,180,7,1,6.565055999999999,MaxSatDddLadderScl,0.000219708,ok,0.005895217,18,3,84,7
0.001786691,1.5163398692810457,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,4,origB2,260,4,232,72,90,5,1,2.444095,MaxSatDddLadderScl,5.6363e-05,ok,0.001842603,5,3,45,5
0.0023122959999999997,2.346820809248555,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,6,origB3,732,9,406,219,250,7,1,3.147682,MaxSatDddLadderScl,0.000264423,ok,0.002574717,5,6,55,7
0.007013932999999999,2.235562310030395,15.949999809265137,2246,25,301,InfiniteSteps180,15,82,301,15,origB4,2578,93,1471,784,841,10,1,8.561608,MaxSatDddLadderScl,0.000921502,ok,0.00793507,20,55,15,301
0.0021663940000000003,1.546448087431694,17.799999237060547,136,25,2,InfiniteSteps180,16,73,2,3,origB5,319,3,283,96,110,2,1,2.894002,MaxSatDddLadderScl,0.000114638,ok,0.002280677,5,2,67,2
0.001632001,1.0127388535031847,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,2,origB6,10,1,159,0,4,2,1,2.208374,MaxSatDddLadderScl,7.634e-06,ok,0.00163933,5,0,0,2
0.009424967999999999,3.1666666666666665,15.25,2865,25,370,InfiniteSteps180,18,123,370,25,origB7,5389,240,2394,1592,1746,19,1,13.799665,MaxSatDddLadderScl,0.003754276,ok,0.013178833,24,64,38,370
