algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
6838977449999990,3435237329042630,20931034088134700,5915,33,34,InfiniteSteps180,0,369,34,23,origA1,160,4270,2478,369,1,1110806269,SatDddSclFreshAddClauses,424484923,ok,11022317429999900,23463838,1107998996,1107998996,1108382344,29,117,245,34,1
22256908299999900,2747692307692300,19.0,3735,33,37,InfiniteSteps180,1,199,37,20,origA2,109,2679,1324,199,2,308184804,SatDddSclFreshAddClauses,84080872,ok,302631388,3310085,306354172,306354172,306649537,25,70,122,37,1
14290770400000000,29576502732240400,22375,2061,33,14,InfiniteSteps180,2,279,14,12,origA3,57,2165,1221,279,1,21980767500000000,SatDddSclFreshAddClauses,75866544,ok,154494105,27961713,218471903,218471903,218773974,16,51,222,14,1
5588531399999990,2351449275362310,19214284896850500,1175,33,22,InfiniteSteps180,3,185,22,8,origA4,31,1298,632,185,1,8142004899999990,SatDddSclFreshAddClauses,24778407,ok,56511352,21589858,8038187300000000,8038187300000000,80663406,14,22,158,22,1
57306273000000000,279957805907173,19.25,876,33,19,InfiniteSteps180,4,154,19,14,origA5,31,1327,739,154,1,85904662,SatDddSclFreshAddClauses,2775712,ok,8377340799999990,20654646,84640704,84640704,85063042,12,26,124,19,1
22350379000000000,18366013071895400,18625,307,33,14,InfiniteSteps180,5,118,14,4,origA6,7,562,228,118,1,33051947999999900,SatDddSclFreshAddClauses,10138187,ok,29064307,20544627,32241325,32241325,32488159,8,3,111,14,1
2394435,25428571428571400,12625,126,33,15,InfiniteSteps180,6,104,15,7,origA7,9,534,288,104,1,32891037999999900,SatDddSclFreshAddClauses,8340996,ok,26030221,19607132999999900,32086237,32086237,32285023,8,4,97,15,1
56659161978,160643115942029,19214284896850500,4877,33,,InfiniteSteps180,7,523,0,87,origA8,1491,17735,12128,523,1,120327429672,SatDddSclFreshAddClauses,63605882404,timeout,19591976408000000,102888857,,,120265044154,28,420,95,138,1
8059476449999990,4070559610705590,20049999237060500,2616,33,40,InfiniteSteps180,8,279,40,22,origA9,172,3346,1936,279,1,12081753740000000,SatDddSclFreshAddClauses,39843642,ok,1192077673,35129284,1204059689,1204059689,1204383756,20,108,165,40,1
57655944,2573228346456690,18176469802856400,1632,33,33,InfiniteSteps180,9,142,33,10,origA10,50,1634,803,142,1,82466273,SatDddSclFreshAddClauses,23876389,ok,26318609,22448850999999900,8127075,8127075,81532055,17,34,105,33,1
6438037065,6535245901639340,1983333396911620,6162,33,25,InfiniteSteps180,10,383,25,32,origA11,513,7973,5096,383,2,14430757805000000,SatDddSclFreshAddClauses,7978846763,ok,14324704727,65547924,14416560005000000,14416560005000000,14416883522,30,220,151,25,1
